Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-58.7,59.6,85,12.5,0.0009,396.9255
25,50,-37.8,41.0,90,7.1,0.0013,264.9344
50,75,-45.8,59.9,88,10.48,0.0015,409.5517
75,100,-30.1,22.1,92,3.43,0.0017,178.71
100,125,-39.4,47.1,90,6.68,0.0018,283.6996
125,150,-31.0,36.0,92,4.18,0.0019,299.7763
150,175,-22.4,27.1,94,3.2,0.002,246.8184
175,200,-31.5,34.0,92,2.22,0.0021,304.3587
200,225,-10.7,9.8,97,1.25,0.0022,142.6759
225,250,-13.1,16.6,96,1.02,0.0022,200.8987
250,275,-15.7,11.4,96,3.7,0.0023,146.6436
275,300,-26.8,27.3,93,1.52,0.0023,291.5441
300,325,-13.3,8.9,96,1.87,0.0024,152.4125
325,350,-16.5,12.1,95,1.85,0.0024,156.015
350,375,-22.5,17.5,94,2.42,0.0025,218.1735
375,400,-21.9,22.0,94,2.42,0.0025,197.1338
400,425,-31.2,32.0,92,3.05,0.0025,298.5349
425,450,-6.0,2.3,98,0.57,0.0026,112.2203
450,475,-20.4,17.9,94,2.41,0.0026,187.6394
475,500,-19.3,25.8,95,2.67,0.0026,241.3957
