Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-65.4,54.6,83,18.7,0.0001,365.8762
25,50,-43.3,50.9,89,10.96,0.0002,393.1447
50,75,-21.1,19.2,94,5.15,0.0002,203.7747
75,100,-28.3,37.7,92,5.33,0.0003,335.4069
100,125,-21.8,33.4,94,4.58,0.0003,235.9698
125,150,-13.6,15.7,96,2.16,0.0003,174.9704
150,175,-13.3,8.5,96,1.85,0.0003,141.9569
175,200,-19.5,26.0,95,3.67,0.0003,229.0231
200,225,-18.4,16.0,95,1.98,0.0003,182.6403
225,250,-6.7,8.9,98,0.82,0.0004,151.0132
250,275,-33.0,30.0,91,3.0,0.0004,328.6597
275,300,-16.6,20.3,95,1.49,0.0004,239.3631
300,325,-17.7,7.8,95,3.1,0.0004,124.4634
325,350,-11.0,0.4,97,0.47,0.0004,101.9657
350,375,-11.2,10.2,97,1.05,0.0004,154.3687
375,400,-33.6,30.5,91,5.5,0.0004,292.2891
400,425,-20.4,13.7,94,3.11,0.0004,173.5531
425,450,-3.2,3.9,99,0.94,0.0004,116.3762
450,475,-4.0,-1.1,98,0.64,0.0005,95.5461
475,500,-8.6,11.6,97,1.24,0.0005,160.3626
