Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,31.1,15.3,107,3.55,0.0002,178.946
25,50,43.1,-8.6,110,0.66,0.0002,56.4596
50,75,18.3,23.3,104,3.85,0.0003,239.6569
75,100,32.4,4.7,108,0.88,0.0003,130.3216
100,125,28.2,6.6,106,1.68,0.0003,150.3048
125,150,39.3,0.6,109,1.89,0.0003,102.5601
150,175,49.7,-9.9,112,0.01,0.0003,48.1628
175,200,39.5,0.8,109,1.55,0.0003,103.6981
200,225,46.4,-8.5,111,0.01,0.0004,50.206
225,250,35.4,4.2,108,1.43,0.0004,123.9301
250,275,30.9,5.9,107,1.75,0.0004,143.9575
275,300,48.9,-9.3,112,0.0,0.0004,49.6666
300,325,39.4,-3.8,109,0.03,0.0004,80.2826
325,350,38.2,-5.5,109,0.01,0.0004,56.5358
350,375,40.5,-5.0,109,0.05,0.0004,64.717
375,400,44.4,-5.6,111,0.63,0.0004,76.1202
400,425,44.9,-4.9,111,0.0,0.0004,77.0031
425,450,45.7,-9.4,111,0.28,0.0004,50.1197
450,475,47.2,-10.3,111,0.0,0.0005,43.1941
475,500,43.1,-6.6,110,0.54,0.0005,71.2815
