Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-71.3,54.7,82,15.44,0.0032,392.1596
25,50,-37.4,37.1,90,7.84,0.0039,277.9282
50,75,-38.2,41.9,90,7.09,0.0042,373.1063
75,100,-18.8,24.8,95,3.87,0.0047,222.9223
100,125,-36.0,33.8,91,4.57,0.0052,324.6605
125,150,-39.6,30.7,90,6.3,0.0053,264.4454
150,175,-8.3,-0.4,97,0.19,0.0056,98.1972
175,200,-10.8,17.2,97,1.73,0.0057,201.6499
200,225,-7.5,4.3,98,0.84,0.0059,119.0447
225,250,-22.9,12.1,94,3.46,0.006,136.0592
250,275,-2.1,2.6,99,1.7,0.0062,108.9005
275,300,-21.1,11.6,94,2.48,0.0062,166.3835
300,325,-33.3,22.8,91,2.89,0.0062,193.1608
325,350,-22.2,8.4,94,1.09,0.0064,139.2378
350,375,-14.0,7.7,96,0.13,0.0067,153.0942
375,400,-15.0,3.7,96,0.35,0.0068,126.9619
400,425,-14.5,5.4,96,0.45,0.0069,128.9205
425,450,-18.0,3.5,95,0.27,0.007,118.7984
450,475,-22.5,21.0,94,3.43,0.0072,200.8006
475,500,-11.5,2.9,97,0.05,0.0073,111.1215
