Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-48.0,50.4,88,8.75,0.0006,390.5399
25,50,-23.4,24.1,94,4.32,0.0007,228.821
50,75,-25.1,35.6,93,3.5,0.0008,237.6458
75,100,-6.1,3.8,98,2.67,0.0009,113.4836
100,125,-18.1,35.8,95,2.77,0.0009,271.8964
125,150,-27.9,23.9,92,2.3,0.001,196.8388
150,175,-4.6,6.4,98,0.69,0.001,138.9465
175,200,-22.8,20.6,94,1.29,0.0011,208.3967
200,225,-26.1,24.7,93,1.25,0.0011,291.0024
225,250,-20.9,11.1,94,2.41,0.0011,143.3297
250,275,-6.0,6.3,98,0.21,0.0012,138.5846
275,300,-17.3,11.7,95,1.5,0.0012,154.5983
300,325,-16.5,21.4,95,1.83,0.0012,214.3775
325,350,-2.0,-2.9,99,1.23,0.0012,89.5834
350,375,-27.1,21.8,93,2.12,0.0013,226.8983
375,400,-7.9,4.0,98,1.07,0.0013,120.3889
400,425,-11.8,13.7,97,1.79,0.0014,151.4104
425,450,-20.9,26.1,94,1.98,0.0014,234.5353
450,475,-10.0,4.6,97,0.35,0.0014,124.6368
475,500,-7.0,3.3,98,2.17,0.0014,110.4212
