,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,-25.2,21.4,58,45.75,0.0008,613.4669,-7.2,6.8,88,12.64,0.0007,225.8157
1,50,-1.0,13.2,98,13.64,0.0009,432.9752,-0.9,2.4,98,7.86,0.001,141.1106
2,75,7.6,9.0,112,7.46,0.0011,274.3409,-1.5,3.2,97,5.19,0.0011,175.6836
3,100,-13.3,13.3,78,29.59,0.0012,354.8882,-5.8,5.0,90,5.94,0.0012,227.2798
4,125,1.5,11.4,102,5.26,0.0013,401.9511,-2.6,4.0,95,5.1,0.0013,178.1643
5,150,-9.8,14.6,84,2.33,0.0014,478.4337,-5.5,6.3,91,6.38,0.0014,264.8156
6,175,-2.9,15.5,95,4.01,0.0015,404.5907,-2.3,4.7,96,4.0,0.0015,220.1126
7,200,-4.9,13.4,92,5.1,0.0015,433.598,-1.5,2.4,97,4.78,0.0015,149.5417
8,225,-3.6,14.4,94,1.15,0.0016,434.4535,-2.1,2.8,96,1.94,0.0016,167.8501
9,250,-1.9,13.3,96,1.42,0.0017,386.027,-1.0,3.2,98,2.21,0.0016,182.2325
10,275,-7.2,16.5,88,2.73,0.0017,499.8338,-3.8,3.3,93,2.53,0.0017,169.9568
11,300,9.0,8.7,114,0.59,0.0017,343.7178,-2.3,3.2,96,0.59,0.0017,190.3548
12,325,-0.4,11.9,99,2.05,0.0018,366.1294,-0.3,2.6,99,2.08,0.0018,160.6573
13,350,-3.2,14.4,94,2.7,0.0018,444.514,-0.8,0.9,98,1.48,0.0018,119.3726
14,375,-1.8,11.8,97,3.23,0.0019,399.9349,-2.0,2.8,96,2.95,0.0019,176.5367
15,400,0.3,14.9,100,2.9,0.0019,421.9652,-0.6,1.3,99,0.97,0.0019,128.7674
16,425,-1.8,11.8,97,1.52,0.002,333.5702,-0.5,-0.3,99,0.79,0.0019,94.1605
17,450,-8.4,14.5,86,4.3,0.002,423.3281,-0.8,2.6,98,1.51,0.0019,160.1925
18,475,-5.9,16.0,90,1.16,0.002,445.2717,1.8,1.0,102,2.04,0.002,119.0545
19,500,-8.4,12.4,86,2.6,0.0021,332.2195,-1.2,0.5,98,1.05,0.002,110.6411
