Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-9.9,12.9,84,10.89,0.0035,474.3619
25,50,-3.6,3.9,94,8.35,0.0047,183.3556
50,75,-2.6,2.8,95,3.57,0.0055,161.8265
75,100,-7.5,7.2,88,4.17,0.006,282.5721
100,125,-2.8,3.6,95,3.99,0.0066,179.1463
125,150,-2.7,4.1,95,3.61,0.0071,184.2846
150,175,-3.0,2.0,95,2.08,0.0075,138.9459
175,200,-3.0,4.2,94,0.83,0.008,181.4157
200,225,-4.5,4.4,92,3.62,0.0082,208.012
225,250,-5.2,3.7,91,2.35,0.0084,179.3124
250,275,-4.1,3.6,93,2.4,0.0086,195.5147
275,300,-4.3,2.3,93,2.74,0.0087,156.8543
300,325,-4.2,2.3,93,2.73,0.009,156.6593
325,350,-4.5,2.7,92,1.38,0.0093,161.3136
350,375,-1.1,3.1,98,1.41,0.0096,203.8631
375,400,-3.0,4.4,95,1.43,0.0097,196.7312
400,425,-3.8,4.1,93,1.68,0.0097,226.5901
425,450,-1.8,3.5,97,1.98,0.0098,170.4619
450,475,-3.1,1.4,95,0.49,0.01,130.2601
475,500,-0.6,2.2,99,1.45,0.0101,140.8595
