Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-7.2,6.8,88,12.64,0.0007,225.8157
25,50,-0.9,2.4,98,7.86,0.001,141.1106
50,75,-1.5,3.2,97,5.19,0.0011,175.6836
75,100,-5.8,5.0,90,5.94,0.0012,227.2798
100,125,-2.6,4.0,95,5.1,0.0013,178.1643
125,150,-5.5,6.3,91,6.38,0.0014,264.8156
150,175,-2.3,4.7,96,4.0,0.0015,220.1126
175,200,-1.5,2.4,97,4.78,0.0015,149.5417
200,225,-2.1,2.8,96,1.94,0.0016,167.8501
225,250,-1.0,3.2,98,2.21,0.0016,182.2325
250,275,-3.8,3.3,93,2.53,0.0017,169.9568
275,300,-2.3,3.2,96,0.59,0.0017,190.3548
300,325,-0.3,2.6,99,2.08,0.0018,160.6573
325,350,-0.8,0.9,98,1.48,0.0018,119.3726
350,375,-2.0,2.8,96,2.95,0.0019,176.5367
375,400,-0.6,1.3,99,0.97,0.0019,128.7674
400,425,-0.5,-0.3,99,0.79,0.0019,94.1605
425,450,-0.8,2.6,98,1.51,0.0019,160.1925
450,475,1.8,1.0,102,2.04,0.002,119.0545
475,500,-1.2,0.5,98,1.05,0.002,110.6411
