Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-8.5,13.7,86,22.93,0.0002,499.0849
25,50,8.3,6.3,113,4.63,0.0003,211.5944
50,75,8.2,7.6,113,5.44,0.0003,290.7266
75,100,5.4,9.6,108,3.45,0.0004,370.7877
100,125,6.9,8.7,111,6.01,0.0004,338.6547
125,150,9.5,9.1,115,3.59,0.0004,353.7602
150,175,8.5,5.2,113,4.1,0.0004,220.0479
175,200,8.4,6.6,113,4.54,0.0005,216.9429
200,225,2.4,11.2,103,9.06,0.0005,315.0747
225,250,4.2,7.7,106,1.39,0.0005,285.8485
250,275,-1.9,13.6,96,12.14,0.0005,420.8177
275,300,9.9,4.5,116,1.54,0.0005,200.7794
300,325,6.9,7.7,111,3.83,0.0005,255.4363
325,350,8.1,6.8,112,1.26,0.0006,287.6051
350,375,9.7,5.6,115,2.41,0.0006,214.9957
375,400,6.3,5.8,110,3.95,0.0006,204.644
400,425,9.9,3.8,116,1.68,0.0006,175.699
425,450,6.5,7.3,110,4.65,0.0006,272.0346
450,475,7.7,6.4,112,1.87,0.0006,232.1311
475,500,9.7,5.4,115,2.19,0.0006,231.5228
