Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-30.7,13.6,50,53.85,0.0011,402.0077
25,50,-37.1,13.9,40,54.0,0.0014,418.3429
50,75,3.4,12.8,105,7.45,0.0017,391.968
75,100,-1.7,9.9,97,5.31,0.0019,339.6011
100,125,-10.8,14.9,82,13.73,0.0021,422.3932
125,150,-8.5,12.0,86,12.46,0.0022,347.1397
150,175,-7.3,14.3,88,8.81,0.0023,430.0838
175,200,-5.8,10.6,90,10.67,0.0024,392.4226
200,225,-3.4,12.8,94,13.87,0.0026,437.988
225,250,-7.9,10.9,87,8.7,0.0027,324.9254
250,275,-3.3,10.3,94,8.48,0.0027,331.0939
275,300,-3.0,12.3,95,8.85,0.0028,424.4333
300,325,-0.9,13.9,98,6.16,0.0029,368.0783
325,350,-7.7,13.0,87,6.28,0.003,359.8905
350,375,-3.1,14.2,94,2.26,0.0031,472.4782
375,400,2.8,7.5,104,0.87,0.0032,243.6542
400,425,-0.9,9.6,98,1.51,0.0032,302.8813
425,450,-1.6,9.3,97,3.49,0.0033,299.2478
450,475,-5.0,13.6,91,0.51,0.0034,400.7745
475,500,3.0,10.1,104,2.38,0.0034,357.694
