Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-30.7,13.4,50,38.67,0.0037,448.623
25,50,-27.8,15.7,54,38.27,0.0047,433.7863
50,75,-9.1,14.1,85,6.89,0.0054,508.296
75,100,-21.3,18.2,66,36.01,0.0057,572.0524
100,125,-17.4,20.2,72,25.53,0.0063,614.6088
125,150,-6.7,14.5,89,1.6,0.0068,465.7416
150,175,-18.7,18.2,70,22.28,0.0071,520.3303
175,200,-15.2,21.9,74,25.9,0.0077,541.8138
200,225,-15.4,21.9,74,28.1,0.0081,600.2931
225,250,-12.6,19.1,79,24.03,0.0084,582.419
250,275,-19.1,22.1,68,33.17,0.0088,606.9059
275,300,-8.4,16.3,86,22.51,0.0089,435.3734
300,325,-16.8,19.7,72,25.83,0.0092,599.9292
325,350,-18.8,23.2,69,26.6,0.0093,680.1406
350,375,-9.1,19.3,85,23.95,0.0095,598.6355
375,400,-14.5,21.2,76,28.5,0.0097,710.4883
400,425,-19.1,21.7,68,37.58,0.0099,515.4388
425,450,-9.1,16.9,85,0.41,0.0101,504.348
450,475,-3.0,12.2,95,0.24,0.0102,359.0189
475,500,-20.0,22.0,67,30.72,0.0103,594.8217
