Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-9.4,8.2,84,12.59,0.0012,279.2479
25,50,-1.9,4.1,96,7.51,0.0016,197.1324
50,75,-2.9,2.5,95,4.04,0.0018,149.9877
75,100,-0.3,2.3,99,1.84,0.002,155.6819
100,125,-1.4,1.3,97,2.74,0.0021,129.3142
125,150,-1.9,2.5,96,5.29,0.0023,152.8238
150,175,-2.9,5.0,95,2.21,0.0023,261.7408
175,200,-0.5,2.4,99,2.19,0.0024,153.3955
200,225,-0.2,0.3,99,1.52,0.0026,105.8268
225,250,0.3,2.0,100,1.72,0.0027,152.3656
250,275,0.0,-0.1,100,0.96,0.0028,98.3432
275,300,-1.6,1.9,97,1.66,0.0029,142.1785
300,325,-1.9,2.4,96,2.4,0.0029,167.5292
325,350,-2.2,2.0,96,2.7,0.003,145.7411
350,375,-1.8,3.7,97,2.76,0.0031,192.8005
375,400,-2.6,3.2,95,2.06,0.0032,167.1688
400,425,-1.8,1.9,97,3.15,0.0032,138.5272
425,450,-1.5,1.7,97,0.97,0.0033,131.8768
450,475,0.5,0.9,100,0.9,0.0033,119.9054
475,500,-1.6,2.2,97,0.16,0.0034,159.7709
