Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-4.2,6.0,93,11.47,0.0002,229.5467
25,50,-4.1,5.4,93,8.22,0.0003,241.6533
50,75,-1.1,1.4,98,5.95,0.0003,128.9898
75,100,0.3,0.4,100,2.93,0.0004,109.3164
100,125,-4.1,3.7,93,4.97,0.0004,186.0857
125,150,-3.2,2.6,94,4.74,0.0004,149.0248
150,175,0.6,0.2,100,3.21,0.0004,104.355
175,200,0.5,0.9,100,2.14,0.0005,118.9759
200,225,-0.8,2.8,98,2.23,0.0005,174.7118
225,250,-4.5,2.9,92,3.36,0.0005,163.4842
250,275,-0.4,0.9,99,0.82,0.0005,123.1945
275,300,-0.4,1.3,99,2.5,0.0005,130.9238
300,325,1.0,1.2,101,1.88,0.0005,130.0823
325,350,-1.8,2.4,97,1.43,0.0005,164.5307
350,375,0.3,1.8,100,1.51,0.0006,136.8965
375,400,-0.0,1.0,99,1.65,0.0006,120.4447
400,425,-2.1,2.1,96,1.21,0.0006,163.1968
425,450,-0.2,1.9,99,1.25,0.0006,140.2322
450,475,-3.1,2.8,94,3.05,0.0006,155.6003
475,500,-2.7,2.1,95,1.35,0.0006,145.4656
