Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,31.7,-15.7,108,1.31,0.0054,23.0579
25,50,25.6,-5.8,106,0.9,0.0072,72.0184
50,75,26.5,-9.8,106,0.07,0.0079,57.5982
75,100,28.7,-6.1,107,0.4,0.0087,53.2269
100,125,24.4,-4.1,106,1.53,0.0095,81.2984
125,150,25.4,-6.2,106,0.0,0.0101,66.5347
150,175,24.7,-0.4,106,0.08,0.0108,97.3422
175,200,37.5,-15.1,109,0.0,0.0115,25.6237
200,225,26.2,-12.0,106,0.0,0.0123,23.0184
225,250,28.7,-15.1,107,0.0,0.0125,38.3403
250,275,18.7,-2.4,104,0.0,0.013,85.4938
275,300,25.9,-5.8,106,0.0,0.0132,50.5132
300,325,29.8,-12.1,107,0.0,0.0136,28.7193
325,350,22.2,-2.7,105,0.0,0.0141,83.4933
350,375,38.3,-20.4,110,0.0,0.0145,20.0139
375,400,33.2,-20.3,108,0.0,0.0148,24.776
400,425,33.3,-20.0,108,0.0,0.0161,23.3195
425,450,23.4,3.3,106,0.0,0.0164,119.734
450,475,36.5,-20.0,109,0.0,0.0167,14.5809
475,500,20.3,6.2,105,0.0,0.0169,144.187
