Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-26.5,34.1,93,5.34,0.0061,366.6443
25,50,-25.3,36.7,93,4.77,0.0077,385.2592
50,75,-18.6,29.1,95,4.65,0.0094,255.047
75,100,-12.3,4.9,96,0.67,0.0104,138.9312
100,125,-6.1,-3.0,98,0.73,0.0109,85.9278
125,150,-1.5,-0.6,99,0.16,0.0118,96.4116
150,175,-0.9,-0.3,99,0.29,0.0121,97.9966
175,200,-9.9,8.6,97,1.63,0.013,157.4636
200,225,-11.9,12.0,96,2.05,0.0134,151.3628
225,250,-17.1,13.6,95,0.83,0.0138,163.3858
250,275,-7.4,1.3,98,1.52,0.0141,104.8423
275,300,-2.0,5.2,99,0.38,0.0141,139.1153
300,325,-1.3,3.9,99,0.65,0.0144,118.451
325,350,-5.2,0.9,98,0.62,0.0147,105.0221
350,375,-7.4,5.8,98,0.12,0.0148,132.4527
375,400,-3.0,-7.9,99,0.16,0.0151,71.639
400,425,-5.9,3.5,98,0.3,0.0152,128.3185
425,450,-4.1,-0.1,98,0.05,0.0157,99.2698
450,475,-0.8,6.9,99,0.1,0.016,144.4769
475,500,2.8,2.4,100,0.03,0.0161,113.6993
