Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-12.1,6.2,96,2.14,0.0088,142.5377
25,50,-37.3,33.2,90,3.83,0.0102,243.5178
50,75,-19.7,19.4,94,1.83,0.0116,250.0247
75,100,-38.3,34.0,90,4.03,0.0122,366.6309
100,125,-29.6,21.2,92,1.85,0.0128,285.0191
125,150,-17.1,12.2,95,1.38,0.0139,175.0235
150,175,-16.0,4.6,95,0.56,0.0142,124.3722
175,200,-19.2,25.3,94,2.93,0.0157,234.66
200,225,-6.2,-3.3,98,0.92,0.0167,84.6829
225,250,-24.6,23.1,93,0.8,0.0173,236.2963
250,275,-17.7,9.1,95,0.4,0.0181,150.7382
275,300,-17.4,10.9,95,2.11,0.0186,148.878
300,325,-7.6,0.1,98,0.06,0.0189,100.2641
325,350,-20.2,9.9,94,0.35,0.0193,172.0559
350,375,-8.5,-1.7,97,0.39,0.0194,90.0037
375,400,-11.0,8.1,97,0.36,0.0197,164.0707
400,425,-16.9,11.9,95,0.05,0.0199,189.9822
425,450,-9.0,-1.4,97,0.0,0.0201,89.987
450,475,-15.0,7.1,96,0.91,0.0205,147.1685
475,500,-22.2,17.3,94,0.44,0.0206,248.8691
