Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,25.1,-6.6,106,0.56,0.0085,69.398
25,50,15.1,8.6,103,0.13,0.0105,150.4442
50,75,20.2,-3.1,105,0.08,0.0115,75.2514
75,100,15.0,2.7,103,0.01,0.0125,116.363
100,125,27.3,-8.1,107,0.0,0.0136,54.0824
125,150,30.8,-8.6,108,0.08,0.0147,65.9618
150,175,23.0,-4.7,105,0.0,0.0163,68.3186
175,200,26.9,-3.8,107,0.0,0.0169,81.0932
200,225,23.4,-5.3,106,0.0,0.0173,71.3539
225,250,24.7,-3.8,106,0.0,0.0176,82.2356
250,275,22.5,-2.1,105,0.0,0.018,88.1237
275,300,26.1,-2.9,106,0.01,0.0188,87.3493
300,325,27.8,-12.4,107,0.0,0.0192,46.848
325,350,25.9,-10.2,106,0.0,0.0197,49.5635
350,375,25.7,-10.0,106,0.0,0.02,50.7492
375,400,13.9,7.7,103,0.0,0.0205,138.0786
400,425,16.2,0.8,104,0.0,0.0207,105.2761
425,450,30.4,-11.6,108,0.0,0.021,54.4507
450,475,20.5,-3.3,105,0.0,0.0213,80.7729
475,500,29.8,-10.9,107,0.0,0.0215,53.9911
