Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-22.2,27.0,94,5.83,0.0017,247.6723
25,50,-4.4,5.5,98,1.46,0.0022,130.302
50,75,-14.8,12.2,96,1.83,0.0025,184.745
75,100,-6.1,7.8,98,1.96,0.0027,143.0718
100,125,-10.8,0.1,97,1.99,0.003,100.3774
125,150,7.0,-7.1,101,0.5,0.0033,74.7008
150,175,-15.9,19.6,95,3.04,0.0035,229.7645
175,200,-14.0,21.2,96,0.58,0.0036,330.5813
200,225,-3.0,2.2,99,1.64,0.0039,111.6925
225,250,1.8,-5.4,100,0.47,0.0042,73.5239
250,275,2.3,-5.2,100,0.08,0.0043,70.7822
275,300,2.2,-0.2,100,1.77,0.0044,98.8388
300,325,-6.0,-1.3,98,0.46,0.0045,92.3242
325,350,-14.6,10.1,96,0.48,0.0046,156.791
350,375,-8.1,5.1,97,0.68,0.0046,137.8476
375,400,-12.5,15.2,96,0.77,0.0047,185.4327
400,425,-6.2,10.6,98,0.2,0.0048,172.8991
425,450,-2.1,2.4,99,0.18,0.0049,111.645
450,475,-2.5,1.9,99,0.19,0.005,112.1942
475,500,-1.2,-4.5,99,0.11,0.005,78.0247
