Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,29.8,-8.3,107,0.37,0.0016,39.0875
25,50,26.0,-8.8,106,0.07,0.0022,35.7467
50,75,38.1,-19.8,110,0.27,0.0026,15.621
75,100,21.0,1.8,105,1.71,0.0031,109.2615
100,125,24.9,-7.1,106,0.0,0.0033,64.0577
125,150,26.9,-4.5,107,0.0,0.0035,75.431
150,175,31.7,-11.7,108,0.02,0.0036,49.1355
175,200,29.7,-12.2,107,0.01,0.0037,38.4424
200,225,25.4,-8.7,106,0.0,0.0038,34.5077
225,250,24.8,-6.7,106,0.0,0.0039,46.2055
250,275,25.8,-6.9,106,0.0,0.004,47.3649
275,300,27.9,-7.6,107,0.02,0.0042,59.2909
300,325,25.6,-9.7,106,0.0,0.0042,59.0144
325,350,33.9,-17.0,108,0.01,0.0044,25.2335
350,375,25.8,-7.1,106,0.03,0.0045,66.8707
375,400,22.7,-5.8,105,0.0,0.0045,77.2693
400,425,33.1,-16.7,108,0.25,0.0048,26.4022
425,450,25.3,-8.8,106,0.0,0.0049,39.3149
450,475,35.9,-11.1,109,0.01,0.005,34.1852
475,500,25.3,-2.7,106,0.01,0.0052,86.549
