Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-272.7,-38.6,0,0.0,0.0009,0.0
25,50,-271.5,-28.6,0,0.0,0.0013,0.0
50,75,-272.1,-30.8,0,0.0,0.0015,0.0
75,100,-268.4,-26.0,0,0.0,0.0017,0.0
100,125,-266.1,-30.0,0,0.0,0.0019,0.0
125,150,-276.1,-24.6,0,0.0,0.0019,0.0
150,175,-268.2,-37.4,0,0.0,0.002,0.0
175,200,-270.3,-32.4,0,0.0,0.0021,0.0
200,225,-257.3,-37.1,0,0.0,0.0022,0.0
225,250,-272.9,-30.8,0,0.0,0.0023,0.0
250,275,-273.5,-25.6,0,0.0,0.0024,0.0
275,300,-264.1,-39.5,0,0.0,0.0025,0.0
300,325,-275.6,-26.7,0,0.0,0.0026,0.0
325,350,-276.8,-25.6,0,0.0,0.0026,0.0
350,375,-268.9,-29.4,0,0.0,0.0027,0.0
375,400,-265.4,-29.6,0,0.0,0.0028,0.0
400,425,-265.5,-37.0,0,0.0,0.0028,0.0
425,450,-257.6,-39.4,0,0.0,0.003,0.0
450,475,-266.5,-32.1,0,0.0,0.003,0.0
475,500,-268.8,-37.6,0,0.0,0.0031,0.0
