Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-52.0,28.4,80,10.38,0.0046,185.4755
25,50,-53.5,20.0,79,9.27,0.0063,161.6305
50,75,-62.3,35.7,77,4.99,0.0072,220.3321
75,100,-50.7,16.9,81,3.8,0.0077,156.53
100,125,-36.5,15.8,86,4.12,0.0082,150.9592
125,150,-54.2,22.0,79,5.16,0.0088,170.1549
150,175,-36.8,12.4,86,3.28,0.0091,135.5066
175,200,-60.7,23.0,78,2.68,0.0093,190.2697
200,225,-55.5,25.4,79,7.44,0.0096,186.7648
225,250,-55.8,24.2,79,1.74,0.0097,206.4288
250,275,-37.2,12.2,86,2.52,0.0101,140.9194
275,300,-57.0,30.9,79,5.58,0.0103,214.7122
300,325,-51.3,17.9,80,3.1,0.0106,143.4286
325,350,-50.9,20.3,80,3.66,0.0109,157.2037
350,375,-60.4,24.6,77,3.38,0.011,188.6241
375,400,-39.1,11.4,84,8.31,0.0114,125.1272
400,425,-58.4,21.4,78,3.3,0.0115,166.441
425,450,-52.3,14.2,81,3.23,0.0119,153.217
450,475,-58.5,21.9,78,5.12,0.0124,173.5377
475,500,-51.9,24.2,80,5.57,0.0125,172.3044
