Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-12.3,22.6,95,8.53,0.0003,174.1983
25,50,-31.6,34.9,88,12.23,0.0004,203.9181
50,75,-24.0,14.2,91,8.26,0.0004,141.2235
75,100,-18.9,24.0,92,8.6,0.0005,163.4177
100,125,-27.9,23.7,89,7.96,0.0006,161.8387
125,150,-17.6,5.3,93,6.33,0.0006,112.0821
150,175,-28.8,17.3,89,4.48,0.0007,151.3743
175,200,-20.8,30.0,92,5.05,0.0007,235.1702
200,225,7.5,-11.3,102,1.77,0.0008,71.3468
225,250,-37.7,24.7,86,7.35,0.0008,185.9827
250,275,-35.2,38.8,87,7.07,0.0008,234.9559
275,300,-14.4,1.1,94,2.89,0.0009,102.9952
300,325,-31.2,26.7,88,4.98,0.0009,202.0231
325,350,-5.8,4.1,97,4.0,0.0009,108.6657
350,375,-42.8,25.8,84,4.43,0.0009,220.2489
375,400,-7.6,10.7,97,3.55,0.0009,126.6857
400,425,-19.5,14.7,92,2.81,0.001,133.7171
425,450,-24.8,17.8,90,2.76,0.001,156.7744
450,475,-24.1,11.9,91,1.76,0.001,153.0164
475,500,-2.0,6.8,99,0.85,0.001,121.2708
