,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,-272.2,-30.9,0,1.0,0.0002,0.0,-12.3,22.6,95,8.53,0.0003,174.1983
1,50,-272.5,-30.7,0,1.95,0.0003,0.0,-31.6,34.9,88,12.23,0.0004,203.9181
2,75,-262.9,-36.9,0,0.0,0.0004,0.0,-24.0,14.2,91,8.26,0.0004,141.2235
3,100,-257.0,-44.5,0,1.23,0.0005,0.0,-18.9,24.0,92,8.6,0.0005,163.4177
4,125,-264.8,-36.7,0,0.24,0.0006,0.935,-27.9,23.7,89,7.96,0.0006,161.8387
5,150,-272.9,-27.3,0,0.0,0.0006,0.0,-17.6,5.3,93,6.33,0.0006,112.0821
6,175,-280.3,-26.0,0,1.43,0.0006,0.0,-28.8,17.3,89,4.48,0.0007,151.3743
7,200,-265.4,-37.5,0,0.14,0.0007,0.0,-20.8,30.0,92,5.05,0.0007,235.1702
8,225,-269.7,-28.3,0,0.0,0.0007,0.0,7.5,-11.3,102,1.77,0.0008,71.3468
9,250,-255.5,-44.6,0,0.0,0.0008,0.0,-37.7,24.7,86,7.35,0.0008,185.9827
10,275,-259.8,-35.6,0,0.0,0.0008,0.0,-35.2,38.8,87,7.07,0.0008,234.9559
11,300,-262.9,-35.7,0,0.0,0.0009,0.0,-14.4,1.1,94,2.89,0.0009,102.9952
12,325,-265.7,-33.2,0,0.0,0.0009,0.0,-31.2,26.7,88,4.98,0.0009,202.0231
13,350,-270.6,-28.5,0,0.0,0.0009,0.0,-5.8,4.1,97,4.0,0.0009,108.6657
14,375,-272.1,-34.8,0,0.0,0.0009,0.0,-42.8,25.8,84,4.43,0.0009,220.2489
15,400,-267.5,-33.0,0,0.0,0.0009,0.0,-7.6,10.7,97,3.55,0.0009,126.6857
16,425,-265.3,-42.7,0,0.0,0.001,0.0,-19.5,14.7,92,2.81,0.001,133.7171
17,450,-271.9,-26.1,0,0.0,0.001,0.0,-24.8,17.8,90,2.76,0.001,156.7744
18,475,-264.9,-37.9,0,0.0,0.001,0.0,-24.1,11.9,91,1.76,0.001,153.0164
19,500,-269.5,-28.3,0,0.03,0.001,0.0,-2.0,6.8,99,0.85,0.001,121.2708
