Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-277.0,-29.1,0,0.0,0.0011,0.0
25,50,-268.2,-33.7,0,1.19,0.0015,0.0
50,75,-265.9,-36.9,0,0.0,0.002,0.0
75,100,-271.6,-32.3,0,0.0,0.0022,0.0
100,125,-262.1,-35.8,0,0.0,0.0025,0.0
125,150,-263.8,-37.8,0,0.0,0.0028,0.0
150,175,-260.1,-45.1,0,0.0,0.003,0.0
175,200,-272.8,-27.4,0,0.0,0.0032,0.0
200,225,-271.0,-30.0,0,0.0,0.0033,0.0
225,250,-274.7,-24.5,0,0.0,0.0035,0.0
250,275,-277.1,-25.2,0,0.0,0.0036,0.0
275,300,-264.2,-33.6,0,0.0,0.0037,0.0
300,325,-266.5,-37.5,0,0.82,0.0039,0.0
325,350,-276.8,-24.9,0,0.3,0.004,0.0
350,375,-272.7,-30.1,0,0.0,0.0041,0.0
375,400,-269.3,-40.8,0,0.0,0.0042,0.0
400,425,-268.2,-36.4,0,0.0,0.0043,0.0
425,450,-275.8,-32.2,0,0.0,0.0044,0.0
450,475,-281.2,-23.5,0,0.0,0.0045,0.0
475,500,-274.0,-26.5,0,0.0,0.0046,0.0
