,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,-272.8,-30.6,0,0.0,0.0038,0.0,-52.0,28.4,80,10.38,0.0046,185.4755
1,50,-275.5,-24.0,0,0.0,0.0048,0.0,-53.5,20.0,79,9.27,0.0063,161.6305
2,75,-267.1,-33.0,0,0.0,0.0061,0.0,-62.3,35.7,77,4.99,0.0072,220.3321
3,100,-267.0,-37.5,0,0.0,0.0069,0.0,-50.7,16.9,81,3.8,0.0077,156.53
4,125,-261.5,-39.5,0,0.0,0.0075,0.0,-36.5,15.8,86,4.12,0.0082,150.9592
5,150,-278.2,-26.1,0,0.0,0.0078,0.0,-54.2,22.0,79,5.16,0.0088,170.1549
6,175,-271.3,-28.2,0,0.0,0.0083,0.0,-36.8,12.4,86,3.28,0.0091,135.5066
7,200,-260.5,-38.9,0,0.0,0.0087,0.0,-60.7,23.0,78,2.68,0.0093,190.2697
8,225,-267.6,-32.5,0,0.0,0.0094,0.0,-55.5,25.4,79,7.44,0.0096,186.7648
9,250,-260.3,-36.3,0,0.0,0.0101,0.0,-55.8,24.2,79,1.74,0.0097,206.4288
10,275,-274.2,-29.0,0,0.0,0.0105,0.0,-37.2,12.2,86,2.52,0.0101,140.9194
11,300,-263.9,-39.5,0,0.0,0.0107,0.0,-57.0,30.9,79,5.58,0.0103,214.7122
12,325,-278.0,-29.4,0,0.0,0.0109,0.0,-51.3,17.9,80,3.1,0.0106,143.4286
13,350,-272.1,-35.6,0,0.0,0.011,0.0,-50.9,20.3,80,3.66,0.0109,157.2037
14,375,-276.0,-24.9,0,0.0,0.0112,0.0,-60.4,24.6,77,3.38,0.011,188.6241
15,400,-256.5,-45.3,0,0.0,0.0114,0.0,-39.1,11.4,84,8.31,0.0114,125.1272
16,425,-271.5,-34.1,0,0.0,0.0116,0.0,-58.4,21.4,78,3.3,0.0115,166.441
17,450,-263.1,-36.2,0,0.0,0.0118,0.0,-52.3,14.2,81,3.23,0.0119,153.217
18,475,-270.4,-25.5,0,0.0,0.012,0.0,-58.5,21.9,78,5.12,0.0124,173.5377
19,500,-262.9,-38.6,0,0.0,0.0122,0.0,-51.9,24.2,80,5.57,0.0125,172.3044
