Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,43.0,-27.6,111,0.22,0.0057,15.7723
25,50,13.5,9.8,103,2.45,0.0069,156.2872
50,75,22.9,-6.8,105,0.17,0.0082,54.0396
75,100,17.9,0.1,104,0.03,0.0094,100.4561
100,125,15.7,9.4,104,0.33,0.0099,168.3797
125,150,24.7,-3.5,106,0.03,0.0105,79.9618
150,175,16.9,4.4,104,1.16,0.011,125.3429
175,200,34.5,-18.2,109,0.02,0.0113,30.3658
200,225,24.7,-10.2,106,0.02,0.012,57.917
225,250,26.6,-0.5,106,0.46,0.0124,97.3961
250,275,27.5,-7.3,107,0.0,0.0126,61.7519
275,300,18.1,6.6,104,0.09,0.0127,140.5467
300,325,36.2,-15.6,109,0.0,0.0128,36.6117
325,350,21.9,3.7,105,1.16,0.0131,133.888
350,375,36.2,-18.6,109,0.01,0.0136,22.175
375,400,38.4,-21.6,110,0.0,0.014,15.2704
400,425,26.7,-8.8,106,0.01,0.0142,51.1166
425,450,25.8,-0.6,106,0.01,0.0142,97.0202
450,475,21.0,-0.8,105,0.0,0.0147,94.5131
475,500,25.5,-12.4,106,0.03,0.0148,30.5585
