Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-21.8,19.6,94,4.26,0.0018,174.6512
25,50,-1.1,2.6,99,2.87,0.0025,110.4044
50,75,-9.2,13.7,97,1.95,0.0029,174.6986
75,100,-8.7,9.8,97,1.28,0.0031,184.7387
100,125,-14.3,9.9,96,1.62,0.0034,169.2743
125,150,-0.9,-2.9,99,0.49,0.0035,87.7643
150,175,-0.5,2.2,99,0.28,0.0036,110.7134
175,200,-11.5,1.8,97,1.33,0.0037,109.7007
200,225,7.7,-7.3,102,0.54,0.0039,72.3803
225,250,-3.5,6.2,99,0.73,0.004,139.2303
250,275,5.1,-8.0,101,0.25,0.0041,67.6992
275,300,0.4,-0.9,100,0.25,0.0044,95.3027
300,325,-6.2,7.3,98,0.78,0.0045,139.8482
325,350,-12.1,5.3,96,1.15,0.0047,122.0668
350,375,-3.0,-3.8,99,0.2,0.0047,82.9313
375,400,-5.5,6.0,98,0.9,0.0048,124.1288
400,425,9.6,-19.8,102,0.04,0.0049,40.5721
425,450,-6.3,2.5,98,0.29,0.005,117.7449
450,475,-13.5,20.7,96,0.47,0.005,281.7005
475,500,-8.7,2.7,97,0.3,0.0051,116.6384
