Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,23.9,-6.5,106,0.7,0.0064,64.9574
25,50,23.9,-4.5,106,0.03,0.009,77.0211
50,75,21.7,5.7,105,0.03,0.0113,143.3275
75,100,22.2,5.5,105,0.97,0.0122,126.3047
100,125,30.1,-10.0,107,0.0,0.0134,52.3586
125,150,23.9,-6.7,106,0.35,0.0148,67.2969
150,175,25.2,-11.0,106,0.0,0.0153,38.4769
175,200,23.2,-3.3,106,0.0,0.0171,83.0841
200,225,17.1,4.4,104,0.0,0.0176,129.3407
225,250,16.6,-0.6,104,0.0,0.0188,96.1896
250,275,26.9,-15.2,107,0.0,0.0194,41.9161
275,300,32.3,-18.0,108,0.0,0.0197,26.1623
300,325,15.0,11.0,103,0.07,0.0204,156.5307
325,350,19.4,1.4,105,0.0,0.0208,107.9813
350,375,25.1,-9.1,106,0.0,0.0216,43.6297
375,400,34.3,-13.6,109,0.0,0.0221,39.7717
400,425,7.0,6.1,101,0.0,0.0224,130.2371
425,450,23.6,-0.4,106,0.71,0.0229,97.0757
450,475,26.7,-8.8,106,0.0,0.023,60.3451
475,500,10.3,4.7,102,0.0,0.0231,122.0135
