,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,12.4,11.7,103,2.12,0.0019,167.7917,-21.8,19.6,94,4.26,0.0018,174.6512
1,50,41.1,-28.3,111,0.75,0.0025,27.0772,-1.1,2.6,99,2.87,0.0025,110.4044
2,75,21.4,2.5,105,0.51,0.0028,110.9487,-9.2,13.7,97,1.95,0.0029,174.6986
3,100,18.3,0.1,104,0.07,0.003,100.9746,-8.7,9.8,97,1.28,0.0031,184.7387
4,125,22.4,4.0,105,0.41,0.0032,127.0503,-14.3,9.9,96,1.62,0.0034,169.2743
5,150,29.9,-10.2,107,0.23,0.0033,44.2312,-0.9,-2.9,99,0.49,0.0035,87.7643
6,175,34.5,-21.6,109,0.0,0.0035,38.0749,-0.5,2.2,99,0.28,0.0036,110.7134
7,200,21.8,-5.7,105,0.0,0.0036,63.7977,-11.5,1.8,97,1.33,0.0037,109.7007
8,225,16.6,4.6,104,0.0,0.0037,119.7673,7.7,-7.3,102,0.54,0.0039,72.3803
9,250,17.2,-4.0,104,0.75,0.0039,80.2827,-3.5,6.2,99,0.73,0.004,139.2303
10,275,21.7,5.2,105,2.5,0.004,125.0836,5.1,-8.0,101,0.25,0.0041,67.6992
11,300,17.0,9.8,104,1.3,0.0042,150.4302,0.4,-0.9,100,0.25,0.0044,95.3027
12,325,21.5,-0.2,105,0.12,0.0043,98.6708,-6.2,7.3,98,0.78,0.0045,139.8482
13,350,17.5,7.1,104,0.03,0.0044,136.5249,-12.1,5.3,96,1.15,0.0047,122.0668
14,375,30.0,-12.8,107,0.26,0.0047,61.5806,-3.0,-3.8,99,0.2,0.0047,82.9313
15,400,20.2,2.6,105,0.31,0.0049,118.9973,-5.5,6.0,98,0.9,0.0048,124.1288
16,425,18.5,4.9,104,0.0,0.0049,144.361,9.6,-19.8,102,0.04,0.0049,40.5721
17,450,22.2,-0.3,105,0.01,0.0051,98.8117,-6.3,2.5,98,0.29,0.005,117.7449
18,475,22.5,0.8,105,0.93,0.0052,103.7365,-13.5,20.7,96,0.47,0.005,281.7005
19,500,10.3,16.7,102,0.0,0.0052,221.6986,-8.7,2.7,97,0.3,0.0051,116.6384
