Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,19.1,-4.0,104,0.0,0.0304,73.8267
25,50,30.8,-12.5,108,0.0,0.0349,41.9684
50,75,17.5,-0.4,104,0.01,0.0395,97.8041
75,100,10.3,7.2,102,1.22,0.0463,135.4818
100,125,17.3,3.3,104,0.0,0.0477,120.2474
125,150,23.0,-14.0,106,0.0,0.0493,45.1438
150,175,18.9,-2.7,104,0.0,0.0503,80.3693
175,200,31.3,-16.4,108,0.0,0.052,36.6431
200,225,22.0,-4.0,105,0.0,0.0533,73.5858
225,250,6.6,18.7,101,1.18,0.0538,196.4869
250,275,20.9,-5.8,105,0.0,0.0554,62.3599
275,300,24.4,-5.7,106,0.0,0.0558,79.1809
300,325,24.9,-0.4,106,0.0,0.0571,97.4632
325,350,18.0,1.0,104,0.13,0.0581,104.7707
350,375,14.2,1.2,103,0.0,0.0586,108.7508
375,400,16.2,-5.9,104,0.0,0.0587,65.9187
400,425,12.4,11.5,103,0.47,0.0592,187.0187
425,450,15.8,1.9,104,0.0,0.0598,112.2249
450,475,26.3,-13.5,106,0.0,0.0608,48.2598
475,500,8.0,13.1,102,0.0,0.0613,176.4008
