,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,19.1,-4.0,104,0.0,0.0304,73.8267,-27.5,23.7,92,5.13,0.0227,237.0324
1,50,30.8,-12.5,108,0.0,0.0349,41.9684,-18.6,1.6,95,0.49,0.0268,109.4776
2,75,17.5,-0.4,104,0.01,0.0395,97.8041,-15.1,-4.1,96,1.65,0.0306,84.8114
3,100,10.3,7.2,102,1.22,0.0463,135.4818,-21.3,8.8,94,3.88,0.0367,135.5154
4,125,17.3,3.3,104,0.0,0.0477,120.2474,-16.2,7.3,95,0.91,0.0375,131.6515
5,150,23.0,-14.0,106,0.0,0.0493,45.1438,-24.2,7.7,93,1.82,0.04,149.7625
6,175,18.9,-2.7,104,0.0,0.0503,80.3693,-21.1,10.3,94,1.31,0.0435,150.6251
7,200,31.3,-16.4,108,0.0,0.052,36.6431,-25.0,11.1,93,0.26,0.0438,178.3317
8,225,22.0,-4.0,105,0.0,0.0533,73.5858,-28.3,17.7,92,1.84,0.0451,196.9972
9,250,6.6,18.7,101,1.18,0.0538,196.4869,-26.6,13.3,93,0.19,0.0458,208.0394
10,275,20.9,-5.8,105,0.0,0.0554,62.3599,-20.4,10.8,94,0.35,0.0479,156.2944
11,300,24.4,-5.7,106,0.0,0.0558,79.1809,-5.4,-4.8,98,0.36,0.0491,77.833
12,325,24.9,-0.4,106,0.0,0.0571,97.4632,-34.0,35.1,91,1.51,0.0517,417.9932
13,350,18.0,1.0,104,0.13,0.0581,104.7707,-13.2,7.6,96,0.58,0.052,138.0226
14,375,14.2,1.2,103,0.0,0.0586,108.7508,-7.0,-8.0,98,0.22,0.0527,67.18
15,400,16.2,-5.9,104,0.0,0.0587,65.9187,-7.9,-5.9,97,0.15,0.0535,76.219
16,425,12.4,11.5,103,0.47,0.0592,187.0187,-17.1,0.5,95,0.22,0.0567,102.8192
17,450,15.8,1.9,104,0.0,0.0598,112.2249,-23.6,8.3,93,1.28,0.0574,151.8281
18,475,26.3,-13.5,106,0.0,0.0608,48.2598,-25.6,14.6,93,1.22,0.058,194.4202
19,500,8.0,13.1,102,0.0,0.0613,176.4008,-16.5,2.4,95,0.58,0.0605,113.0568
