Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-28.5,23.5,92,2.85,0.0061,199.4993
25,50,-19.6,10.0,94,4.25,0.0075,140.3145
50,75,-22.5,22.1,94,2.29,0.0086,249.6459
75,100,-12.2,7.8,96,0.7,0.0094,142.3184
100,125,-13.6,10.8,96,1.55,0.0104,181.4616
125,150,-17.1,19.3,95,2.41,0.0112,189.1667
150,175,-13.1,11.4,96,1.73,0.0116,165.9792
175,200,-5.7,1.8,98,0.63,0.0122,109.4303
200,225,-18.6,10.0,95,1.61,0.0124,171.8043
225,250,-18.0,19.0,95,2.49,0.0126,232.9222
250,275,1.4,-0.2,100,0.13,0.0131,98.6142
275,300,-4.7,0.9,98,0.92,0.0138,104.628
300,325,-9.8,13.8,97,1.11,0.0138,184.2073
325,350,-13.5,1.6,96,0.07,0.0144,109.4601
350,375,-2.4,0.3,99,0.02,0.0147,102.1889
375,400,-10.7,-0.2,97,0.02,0.0148,98.9709
400,425,-1.7,-3.9,99,0.31,0.0151,85.2449
425,450,-4.5,-5.3,98,0.05,0.0157,67.221
450,475,-1.8,-9.4,99,0.09,0.0158,71.1756
475,500,6.8,-8.7,101,0.91,0.016,76.7395
