Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-34.2,36.8,90,6.96,0.0093,239.2351
25,50,-19.6,0.5,94,1.97,0.0112,102.2345
50,75,-12.5,4.0,96,1.31,0.0121,123.233
75,100,-28.3,22.4,92,2.46,0.0134,204.7441
100,125,-21.5,18.7,94,3.8,0.0141,218.8533
125,150,-17.2,5.9,95,0.25,0.0158,134.3842
150,175,-36.3,32.6,90,4.49,0.0162,301.6778
175,200,-19.1,17.7,95,3.99,0.0169,215.9221
200,225,-7.1,0.8,98,0.7,0.0175,103.74
225,250,-12.5,-2.5,96,1.25,0.0182,87.8645
250,275,-15.8,7.5,95,1.07,0.0184,142.5633
275,300,-18.4,8.8,95,0.95,0.0188,163.5852
300,325,-16.4,15.2,95,2.11,0.0196,189.7367
325,350,-7.7,7.5,97,0.12,0.0198,143.7803
350,375,-24.2,17.9,93,0.23,0.02,246.4527
375,400,-9.6,3.2,97,0.19,0.0204,115.319
400,425,-17.6,10.1,95,0.58,0.0206,161.6821
425,450,-14.6,8.5,96,0.05,0.021,149.769
450,475,0.9,-11.1,100,0.11,0.0212,53.57
475,500,-13.1,-0.6,96,0.03,0.0219,97.1568
