,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,23.9,-6.5,106,0.7,0.0064,64.9574,-34.2,36.8,90,6.96,0.0093,239.2351
1,50,23.9,-4.5,106,0.03,0.009,77.0211,-19.6,0.5,94,1.97,0.0112,102.2345
2,75,21.7,5.7,105,0.03,0.0113,143.3275,-12.5,4.0,96,1.31,0.0121,123.233
3,100,22.2,5.5,105,0.97,0.0122,126.3047,-28.3,22.4,92,2.46,0.0134,204.7441
4,125,30.1,-10.0,107,0.0,0.0134,52.3586,-21.5,18.7,94,3.8,0.0141,218.8533
5,150,23.9,-6.7,106,0.35,0.0148,67.2969,-17.2,5.9,95,0.25,0.0158,134.3842
6,175,25.2,-11.0,106,0.0,0.0153,38.4769,-36.3,32.6,90,4.49,0.0162,301.6778
7,200,23.2,-3.3,106,0.0,0.0171,83.0841,-19.1,17.7,95,3.99,0.0169,215.9221
8,225,17.1,4.4,104,0.0,0.0176,129.3407,-7.1,0.8,98,0.7,0.0175,103.74
9,250,16.6,-0.6,104,0.0,0.0188,96.1896,-12.5,-2.5,96,1.25,0.0182,87.8645
10,275,26.9,-15.2,107,0.0,0.0194,41.9161,-15.8,7.5,95,1.07,0.0184,142.5633
11,300,32.3,-18.0,108,0.0,0.0197,26.1623,-18.4,8.8,95,0.95,0.0188,163.5852
12,325,15.0,11.0,103,0.07,0.0204,156.5307,-16.4,15.2,95,2.11,0.0196,189.7367
13,350,19.4,1.4,105,0.0,0.0208,107.9813,-7.7,7.5,97,0.12,0.0198,143.7803
14,375,25.1,-9.1,106,0.0,0.0216,43.6297,-24.2,17.9,93,0.23,0.02,246.4527
15,400,34.3,-13.6,109,0.0,0.0221,39.7717,-9.6,3.2,97,0.19,0.0204,115.319
16,425,7.0,6.1,101,0.0,0.0224,130.2371,-17.6,10.1,95,0.58,0.0206,161.6821
17,450,23.6,-0.4,106,0.71,0.0229,97.0757,-14.6,8.5,96,0.05,0.021,149.769
18,475,26.7,-8.8,106,0.0,0.023,60.3451,0.9,-11.1,100,0.11,0.0212,53.57
19,500,10.3,4.7,102,0.0,0.0231,122.0135,-13.1,-0.6,96,0.03,0.0219,97.1568
