Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,70.8,-0.0,109,0.33,0.0001,99.8781
25,50,67.6,-3.0,108,0.13,0.0001,87.0283
50,75,74.1,-1.4,109,0.05,0.0001,94.5198
75,100,72.4,0.6,109,0.1,0.0001,102.6546
100,125,77.9,-7.9,110,0.04,0.0001,67.0583
125,150,82.5,-7.2,110,0.06,0.0001,67.0785
150,175,74.4,-2.8,109,0.01,0.0001,85.9434
175,200,71.9,-0.1,109,0.0,0.0001,99.4563
200,225,86.2,-3.7,111,0.02,0.0001,80.7138
225,250,83.3,-15.3,111,0.03,0.0001,56.1097
250,275,78.7,-2.8,110,0.01,0.0001,86.1755
275,300,86.3,-8.9,111,0.0,0.0001,65.7525
300,325,80.1,-6.0,110,0.0,0.0001,72.1376
325,350,74.5,-9.4,109,0.01,0.0001,56.1324
350,375,78.2,-2.4,110,0.03,0.0001,88.062
375,400,72.1,-6.6,109,0.0,0.0001,65.0744
400,425,77.9,-5.0,110,0.02,0.0001,75.0312
425,450,74.5,-4.3,109,0.02,0.0001,77.9015
450,475,71.2,-3.6,109,0.01,0.0001,82.0045
475,500,82.2,-8.3,110,0.0,0.0001,59.6109
