Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,104.0,-10.1,113,0.03,0.0005,60.0632
25,50,95.5,-4.6,112,0.0,0.0006,72.9481
50,75,104.2,-8.8,113,0.0,0.0006,59.351
75,100,107.3,-3.5,114,0.0,0.0006,83.1903
100,125,97.4,-2.4,112,0.0,0.0007,85.7948
125,150,102.2,-4.1,113,0.0,0.0007,79.1183
150,175,101.7,-10.0,113,0.0,0.0007,55.4775
175,200,98.3,-4.2,113,0.0,0.0007,81.1789
200,225,97.7,-8.7,112,0.0,0.0008,61.9211
225,250,93.2,1.5,112,0.0,0.0008,108.3309
250,275,102.2,-7.5,113,0.0,0.0008,64.3708
275,300,91.1,-1.4,111,0.0,0.0008,91.6352
300,325,106.4,-13.7,114,0.0,0.0008,45.2752
325,350,99.4,-3.3,113,0.0,0.0008,84.2887
350,375,95.0,-6.5,112,0.0,0.0008,70.0782
375,400,104.4,-8.3,113,0.0,0.0008,64.7878
400,425,98.1,-1.7,112,0.0,0.0008,90.4971
425,450,108.7,-13.9,114,0.0,0.0008,44.4306
450,475,97.6,-5.0,112,0.0,0.0008,78.6535
475,500,94.5,-3.1,112,0.0,0.0008,84.7275
