,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,104.0,-10.1,113,0.03,0.0005,60.0632,3.9,-1.2,100,0.02,0.0006,93.8761
1,50,95.5,-4.6,112,0.0,0.0006,72.9481,-1.0,0.9,99,0.01,0.0006,103.8081
2,75,104.2,-8.8,113,0.0,0.0006,59.351,-3.0,1.1,99,0.01,0.0007,105.5624
3,100,107.3,-3.5,114,0.0,0.0006,83.1903,-1.0,1.4,99,0.0,0.0007,106.5364
4,125,97.4,-2.4,112,0.0,0.0007,85.7948,-1.0,11.6,99,0.0,0.0007,170.3883
5,150,102.2,-4.1,113,0.0,0.0007,79.1183,-1.7,0.8,99,0.0,0.0007,103.6009
6,175,101.7,-10.0,113,0.0,0.0007,55.4775,-10.3,3.2,98,0.0,0.0007,114.6332
7,200,98.3,-4.2,113,0.0,0.0007,81.1789,-1.4,-5.3,99,0.0,0.0007,79.9069
8,225,97.7,-8.7,112,0.0,0.0008,61.9211,5.2,2.2,100,0.0,0.0007,110.2928
9,250,93.2,1.5,112,0.0,0.0008,108.3309,0.6,5.3,100,0.01,0.0007,125.5768
10,275,102.2,-7.5,113,0.0,0.0008,64.3708,-1.2,2.3,99,0.03,0.0007,110.0102
11,300,91.1,-1.4,111,0.0,0.0008,91.6352,-4.1,5.8,99,0.23,0.0008,129.2941
12,325,106.4,-13.7,114,0.0,0.0008,45.2752,-5.1,-3.9,99,0.0,0.0008,82.4714
13,350,99.4,-3.3,113,0.0,0.0008,84.2887,-3.3,-0.1,99,0.0,0.0008,99.4294
14,375,95.0,-6.5,112,0.0,0.0008,70.0782,-3.8,0.7,99,0.0,0.0008,103.3797
15,400,104.4,-8.3,113,0.0,0.0008,64.7878,-6.7,0.4,99,0.18,0.0008,101.938
16,425,98.1,-1.7,112,0.0,0.0008,90.4971,-0.6,3.1,99,0.0,0.0008,116.4411
17,450,108.7,-13.9,114,0.0,0.0008,44.4306,-4.4,4.5,99,0.0,0.0008,121.5553
18,475,97.6,-5.0,112,0.0,0.0008,78.6535,-2.4,5.2,99,0.0,0.0008,127.1081
19,500,94.5,-3.1,112,0.0,0.0008,84.7275,1.8,1.0,100,0.0,0.0008,104.679
