,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,70.9,-4.2,109,0.19,0.0002,78.2786,-10.4,3.4,98,0.73,0.0002,115.5765
1,50,66.3,17.7,108,0.05,0.0003,202.7153,-8.0,7.4,98,0.26,0.0003,140.4549
2,75,78.5,-6.2,110,0.01,0.0003,66.9527,-11.9,-0.2,98,0.13,0.0003,99.0606
3,100,69.2,-3.8,109,0.02,0.0003,82.0783,-11.9,5.9,98,0.2,0.0003,132.8847
4,125,85.1,-3.7,111,0.05,0.0003,83.676,-9.3,3.3,98,0.15,0.0003,114.5485
5,150,74.2,-5.2,109,0.02,0.0003,77.31,-11.1,-1.0,98,0.38,0.0003,96.0283
6,175,69.3,-6.7,109,0.0,0.0003,65.6169,5.6,6.5,100,0.02,0.0003,137.4096
7,200,78.6,-3.4,110,0.01,0.0003,81.2689,-5.0,-0.0,99,0.0,0.0003,99.8218
8,225,77.2,-3.1,110,0.0,0.0003,86.7962,5.7,-0.9,100,0.0,0.0003,95.6743
9,250,80.4,-6.8,110,0.0,0.0003,65.5669,1.1,0.2,100,0.16,0.0003,100.8829
10,275,77.7,-6.9,110,0.0,0.0003,64.2598,-12.7,11.3,98,1.2,0.0004,147.1166
11,300,66.1,-6.4,108,0.0,0.0003,70.9592,-4.8,4.8,99,0.05,0.0004,124.2572
12,325,93.6,-31.0,112,0.0,0.0004,27.2776,-5.9,9.9,99,0.03,0.0004,155.6921
13,350,91.7,-19.7,112,0.0,0.0004,41.2458,-7.6,9.7,98,0.0,0.0004,153.0297
14,375,63.6,-3.6,108,0.0,0.0004,79.885,-5.2,8.3,99,0.12,0.0004,148.5088
15,400,77.4,-6.7,110,0.0,0.0004,68.241,-8.9,6.9,98,0.24,0.0004,131.2051
16,425,72.8,-8.8,109,0.0,0.0004,59.5111,-2.1,-0.3,99,0.02,0.0004,98.5387
17,450,73.1,-5.3,109,0.0,0.0004,69.259,6.4,1.0,100,0.01,0.0004,105.0851
18,475,73.9,-3.3,109,0.0,0.0004,83.7306,-2.0,1.0,99,0.1,0.0004,104.941
19,500,73.3,-6.9,109,0.01,0.0004,64.5203,-10.0,6.7,98,0.01,0.0004,139.8235
