Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,70.9,-4.2,109,0.19,0.0002,78.2786
25,50,66.3,17.7,108,0.05,0.0003,202.7153
50,75,78.5,-6.2,110,0.01,0.0003,66.9527
75,100,69.2,-3.8,109,0.02,0.0003,82.0783
100,125,85.1,-3.7,111,0.05,0.0003,83.676
125,150,74.2,-5.2,109,0.02,0.0003,77.31
150,175,69.3,-6.7,109,0.0,0.0003,65.6169
175,200,78.6,-3.4,110,0.01,0.0003,81.2689
200,225,77.2,-3.1,110,0.0,0.0003,86.7962
225,250,80.4,-6.8,110,0.0,0.0003,65.5669
250,275,77.7,-6.9,110,0.0,0.0003,64.2598
275,300,66.1,-6.4,108,0.0,0.0003,70.9592
300,325,93.6,-31.0,112,0.0,0.0004,27.2776
325,350,91.7,-19.7,112,0.0,0.0004,41.2458
350,375,63.6,-3.6,108,0.0,0.0004,79.885
375,400,77.4,-6.7,110,0.0,0.0004,68.241
400,425,72.8,-8.8,109,0.0,0.0004,59.5111
425,450,73.1,-5.3,109,0.0,0.0004,69.259
450,475,73.9,-3.3,109,0.0,0.0004,83.7306
475,500,73.3,-6.9,109,0.01,0.0004,64.5203
