Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-4.0,-0.7,99,0.16,0.0001,97.2171
25,50,-10.5,8.4,98,0.05,0.0002,143.4128
50,75,1.0,5.6,100,0.11,0.0002,131.0223
75,100,-4.4,-0.7,99,0.01,0.0002,97.2751
100,125,-2.5,1.4,99,0.03,0.0002,106.634
125,150,-1.3,3.7,99,0.02,0.0002,119.7546
150,175,-6.5,1.5,99,0.05,0.0002,106.4918
175,200,-7.5,0.4,99,0.01,0.0002,102.1004
200,225,-4.1,0.5,99,0.02,0.0002,102.2107
225,250,2.7,-2.0,100,0.0,0.0002,89.6501
250,275,4.7,-2.9,100,0.01,0.0002,86.3845
275,300,5.5,2.2,100,0.05,0.0002,110.0717
300,325,-13.7,8.6,98,0.01,0.0002,138.0168
325,350,-12.9,20.2,98,1.44,0.0002,193.1131
350,375,-4.5,4.1,99,0.01,0.0002,120.8913
375,400,-7.9,4.3,98,0.0,0.0002,124.0322
400,425,-10.2,3.8,98,0.62,0.0002,116.1061
425,450,-4.5,0.2,99,0.0,0.0002,100.9765
450,475,-9.1,3.8,98,0.0,0.0002,120.6237
475,500,3.6,5.6,100,0.05,0.0002,132.9315
