Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-10.4,3.4,98,0.73,0.0002,115.5765
25,50,-8.0,7.4,98,0.26,0.0003,140.4549
50,75,-11.9,-0.2,98,0.13,0.0003,99.0606
75,100,-11.9,5.9,98,0.2,0.0003,132.8847
100,125,-9.3,3.3,98,0.15,0.0003,114.5485
125,150,-11.1,-1.0,98,0.38,0.0003,96.0283
150,175,5.6,6.5,100,0.02,0.0003,137.4096
175,200,-5.0,-0.0,99,0.0,0.0003,99.8218
200,225,5.7,-0.9,100,0.0,0.0003,95.6743
225,250,1.1,0.2,100,0.16,0.0003,100.8829
250,275,-12.7,11.3,98,1.2,0.0004,147.1166
275,300,-4.8,4.8,99,0.05,0.0004,124.2572
300,325,-5.9,9.9,99,0.03,0.0004,155.6921
325,350,-7.6,9.7,98,0.0,0.0004,153.0297
350,375,-5.2,8.3,99,0.12,0.0004,148.5088
375,400,-8.9,6.9,98,0.24,0.0004,131.2051
400,425,-2.1,-0.3,99,0.02,0.0004,98.5387
425,450,6.4,1.0,100,0.01,0.0004,105.0851
450,475,-2.0,1.0,99,0.1,0.0004,104.941
475,500,-10.0,6.7,98,0.01,0.0004,139.8235
