,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,70.8,-0.0,109,0.33,0.0001,99.8781,-15.3,22.6,97,2.03,0.0001,201.262
1,50,67.6,-3.0,108,0.13,0.0001,87.0283,4.5,-4.9,100,0.33,0.0001,81.7809
2,75,74.1,-1.4,109,0.05,0.0001,94.5198,-12.7,-0.2,98,0.14,0.0001,99.0861
3,100,72.4,0.6,109,0.1,0.0001,102.6546,-3.6,9.5,99,0.11,0.0001,151.9999
4,125,77.9,-7.9,110,0.04,0.0001,67.0583,-0.7,5.0,99,0.17,0.0001,125.1563
5,150,82.5,-7.2,110,0.06,0.0001,67.0785,-12.8,21.8,98,1.34,0.0001,217.8183
6,175,74.4,-2.8,109,0.01,0.0001,85.9434,-0.6,4.1,99,0.02,0.0001,119.5809
7,200,71.9,-0.1,109,0.0,0.0001,99.4563,-2.0,1.9,99,0.05,0.0001,108.9442
8,225,86.2,-3.7,111,0.02,0.0001,80.7138,-4.9,-3.3,99,0.04,0.0001,88.2751
9,250,83.3,-15.3,111,0.03,0.0001,56.1097,-0.8,0.8,99,0.03,0.0001,103.5704
10,275,78.7,-2.8,110,0.01,0.0001,86.1755,-7.4,2.0,99,0.32,0.0001,109.0481
11,300,86.3,-8.9,111,0.0,0.0001,65.7525,4.2,1.8,100,0.06,0.0001,108.7566
12,325,80.1,-6.0,110,0.0,0.0001,72.1376,-4.8,-1.6,99,0.07,0.0001,93.3626
13,350,74.5,-9.4,109,0.01,0.0001,56.1324,-9.1,-1.1,98,0.23,0.0001,95.0268
14,375,78.2,-2.4,110,0.03,0.0001,88.062,5.2,-2.8,100,0.04,0.0001,88.7004
15,400,72.1,-6.6,109,0.0,0.0001,65.0744,1.4,4.3,100,0.01,0.0001,120.8392
16,425,77.9,-5.0,110,0.02,0.0001,75.0312,0.7,2.7,100,0.0,0.0001,115.2813
17,450,74.5,-4.3,109,0.02,0.0001,77.9015,-13.1,5.5,98,0.05,0.0001,129.0934
18,475,71.2,-3.6,109,0.01,0.0001,82.0045,3.5,2.3,100,0.0,0.0001,111.0594
19,500,82.2,-8.3,110,0.0,0.0001,59.6109,-3.4,15.3,99,0.2,0.0001,163.706
