Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,3.9,-1.2,100,0.02,0.0006,93.8761
25,50,-1.0,0.9,99,0.01,0.0006,103.8081
50,75,-3.0,1.1,99,0.01,0.0007,105.5624
75,100,-1.0,1.4,99,0.0,0.0007,106.5364
100,125,-1.0,11.6,99,0.0,0.0007,170.3883
125,150,-1.7,0.8,99,0.0,0.0007,103.6009
150,175,-10.3,3.2,98,0.0,0.0007,114.6332
175,200,-1.4,-5.3,99,0.0,0.0007,79.9069
200,225,5.2,2.2,100,0.0,0.0007,110.2928
225,250,0.6,5.3,100,0.01,0.0007,125.5768
250,275,-1.2,2.3,99,0.03,0.0007,110.0102
275,300,-4.1,5.8,99,0.23,0.0008,129.2941
300,325,-5.1,-3.9,99,0.0,0.0008,82.4714
325,350,-3.3,-0.1,99,0.0,0.0008,99.4294
350,375,-3.8,0.7,99,0.0,0.0008,103.3797
375,400,-6.7,0.4,99,0.18,0.0008,101.938
400,425,-0.6,3.1,99,0.0,0.0008,116.4411
425,450,-4.4,4.5,99,0.0,0.0008,121.5553
450,475,-2.4,5.2,99,0.0,0.0008,127.1081
475,500,1.8,1.0,100,0.0,0.0008,104.679
