Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-3.2,2.5,99,0.05,0.0005,112.7559
25,50,-7.7,9.3,98,0.03,0.0006,126.9305
50,75,-3.0,-6.5,99,0.0,0.0007,75.0279
75,100,-5.9,-0.5,99,0.02,0.0007,98.2604
100,125,-6.4,8.2,99,0.0,0.0007,136.4461
125,150,1.2,-3.1,100,0.01,0.0007,87.0104
150,175,-5.3,-1.5,99,0.02,0.0007,93.0193
175,200,-0.6,-2.1,99,0.01,0.0008,90.3032
200,225,-7.1,1.2,99,0.05,0.0008,105.6177
225,250,-2.6,-0.3,99,0.0,0.0008,98.4475
250,275,-5.8,4.5,99,0.01,0.0008,123.8279
275,300,-2.5,2.4,99,0.0,0.0008,111.6537
300,325,5.5,-10.9,100,0.0,0.0008,64.5018
325,350,2.1,-2.3,100,0.0,0.0008,91.4371
350,375,-0.7,6.0,99,0.02,0.0008,127.4053
375,400,-3.8,1.3,99,0.03,0.0008,105.9185
400,425,-6.1,-0.0,99,0.0,0.0008,99.8601
425,450,6.2,-10.5,100,0.0,0.0008,64.5636
450,475,-8.8,14.6,98,0.0,0.0008,176.8598
475,500,2.8,0.2,100,0.01,0.0008,101.0939
