Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,81.0,-3.5,110,0.06,0.0001,85.0375
25,50,75.7,-0.8,109,0.06,0.0001,96.1261
50,75,79.7,-3.0,110,0.03,0.0001,86.2949
75,100,75.1,-2.4,109,0.05,0.0001,88.3177
100,125,73.4,-5.3,109,0.02,0.0001,77.0999
125,150,72.2,-0.5,109,0.01,0.0001,97.3648
150,175,74.0,0.2,109,0.01,0.0001,100.9774
175,200,75.3,4.2,109,0.01,0.0001,123.7905
200,225,79.5,-1.1,110,0.0,0.0001,94.3094
225,250,76.7,-1.9,110,0.01,0.0001,88.1927
250,275,83.8,-8.8,111,0.01,0.0001,63.0862
275,300,81.9,-7.7,110,0.01,0.0001,65.4632
300,325,72.2,4.8,109,0.0,0.0001,126.4474
325,350,75.9,0.2,110,0.0,0.0001,100.9296
350,375,72.6,-3.6,109,0.0,0.0001,81.9969
375,400,66.9,1.3,108,0.26,0.0001,107.1228
400,425,69.8,-1.5,109,0.0,0.0001,92.3465
425,450,75.6,-7.6,109,0.01,0.0001,64.0518
450,475,71.8,1.5,109,0.0,0.0001,107.8367
475,500,76.2,-2.4,110,0.0,0.0001,87.2619
