Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-0.2,6.3,99,0.1,0.0001,138.6458
25,50,-11.2,-0.1,98,0.05,0.0002,99.681
50,75,-15.5,4.1,97,0.6,0.0002,121.4232
75,100,-7.4,7.8,99,0.22,0.0002,146.5336
100,125,-5.5,1.5,99,0.02,0.0002,106.8954
125,150,-0.1,3.1,99,0.01,0.0002,115.6693
150,175,-0.8,3.6,99,0.19,0.0002,123.7797
175,200,-0.6,7.1,99,0.01,0.0002,138.5548
200,225,4.3,4.0,100,0.07,0.0002,121.5906
225,250,0.4,1.9,100,0.05,0.0002,109.2146
250,275,-16.3,11.6,97,0.82,0.0002,156.3018
275,300,-0.9,3.1,99,0.3,0.0002,116.0085
300,325,1.3,-2.9,100,0.03,0.0002,87.2496
325,350,-5.5,8.5,99,0.01,0.0002,150.8927
350,375,-6.1,5.8,99,0.06,0.0002,130.5244
375,400,-2.1,4.0,99,0.03,0.0002,118.0873
400,425,-0.7,-2.4,99,0.02,0.0002,89.0073
425,450,-8.8,2.6,98,0.04,0.0002,113.1879
450,475,4.2,1.3,100,0.03,0.0002,106.3809
475,500,4.2,-1.6,100,0.02,0.0002,91.9925
