,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,62.4,17.5,108,1.65,0.0002,183.5434,-13.3,5.5,98,0.48,0.0002,127.0115
1,50,83.4,-6.2,111,0.01,0.0003,74.5058,-17.8,25.1,97,2.04,0.0003,221.3641
2,75,84.6,-9.9,111,0.0,0.0003,49.6826,-21.7,8.4,97,1.28,0.0003,128.1078
3,100,72.7,-4.6,109,0.0,0.0003,75.9738,-5.7,3.8,99,0.14,0.0003,119.5815
4,125,71.5,-0.1,109,0.03,0.0003,99.4361,-11.7,5.1,98,0.04,0.0003,124.4671
5,150,77.4,-4.9,110,0.0,0.0003,76.6224,-6.0,2.9,99,0.18,0.0003,114.287
6,175,79.1,-4.8,110,0.01,0.0003,77.83,5.0,6.9,100,0.12,0.0003,138.8639
7,200,74.4,-11.0,109,0.0,0.0003,56.6325,10.6,-0.2,101,0.02,0.0003,98.9463
8,225,84.3,-10.9,111,0.0,0.0003,54.1669,2.9,-0.0,100,0.0,0.0003,99.8678
9,250,76.5,-7.1,110,0.0,0.0003,65.9851,-14.8,8.6,98,0.01,0.0003,146.908
10,275,67.4,5.4,108,1.35,0.0003,119.0159,-4.3,1.0,99,0.02,0.0003,104.0745
11,300,67.3,-2.4,108,0.02,0.0004,87.7646,-0.1,6.0,99,0.03,0.0004,127.8821
12,325,67.7,-0.9,108,0.03,0.0004,95.1705,-0.7,6.2,99,0.0,0.0004,128.1114
13,350,73.1,5.5,109,1.36,0.0004,119.2173,-10.6,4.9,98,0.03,0.0004,124.02
14,375,79.1,-6.2,110,0.0,0.0004,68.9816,-6.6,-3.5,99,0.01,0.0004,86.7579
15,400,72.3,-6.8,109,0.0,0.0004,68.6985,0.7,0.5,100,0.05,0.0004,102.5484
16,425,78.1,-15.5,110,0.0,0.0004,50.6407,-4.8,5.2,99,0.0,0.0004,128.3844
17,450,81.1,-10.2,110,0.0,0.0004,56.9584,-10.2,1.4,98,0.01,0.0004,104.9971
18,475,75.7,-2.3,109,0.0,0.0004,88.0259,-6.9,3.6,99,0.02,0.0004,119.0423
19,500,73.2,-3.0,109,0.0,0.0004,82.3444,-12.5,9.5,98,0.04,0.0004,164.6184
