Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-13.3,5.5,98,0.48,0.0002,127.0115
25,50,-17.8,25.1,97,2.04,0.0003,221.3641
50,75,-21.7,8.4,97,1.28,0.0003,128.1078
75,100,-5.7,3.8,99,0.14,0.0003,119.5815
100,125,-11.7,5.1,98,0.04,0.0003,124.4671
125,150,-6.0,2.9,99,0.18,0.0003,114.287
150,175,5.0,6.9,100,0.12,0.0003,138.8639
175,200,10.6,-0.2,101,0.02,0.0003,98.9463
200,225,2.9,-0.0,100,0.0,0.0003,99.8678
225,250,-14.8,8.6,98,0.01,0.0003,146.908
250,275,-4.3,1.0,99,0.02,0.0003,104.0745
275,300,-0.1,6.0,99,0.03,0.0004,127.8821
300,325,-0.7,6.2,99,0.0,0.0004,128.1114
325,350,-10.6,4.9,98,0.03,0.0004,124.02
350,375,-6.6,-3.5,99,0.01,0.0004,86.7579
375,400,0.7,0.5,100,0.05,0.0004,102.5484
400,425,-4.8,5.2,99,0.0,0.0004,128.3844
425,450,-10.2,1.4,98,0.01,0.0004,104.9971
450,475,-6.9,3.6,99,0.02,0.0004,119.0423
475,500,-12.5,9.5,98,0.04,0.0004,164.6184
