Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,62.4,17.5,108,1.65,0.0002,183.5434
25,50,83.4,-6.2,111,0.01,0.0003,74.5058
50,75,84.6,-9.9,111,0.0,0.0003,49.6826
75,100,72.7,-4.6,109,0.0,0.0003,75.9738
100,125,71.5,-0.1,109,0.03,0.0003,99.4361
125,150,77.4,-4.9,110,0.0,0.0003,76.6224
150,175,79.1,-4.8,110,0.01,0.0003,77.83
175,200,74.4,-11.0,109,0.0,0.0003,56.6325
200,225,84.3,-10.9,111,0.0,0.0003,54.1669
225,250,76.5,-7.1,110,0.0,0.0003,65.9851
250,275,67.4,5.4,108,1.35,0.0003,119.0159
275,300,67.3,-2.4,108,0.02,0.0004,87.7646
300,325,67.7,-0.9,108,0.03,0.0004,95.1705
325,350,73.1,5.5,109,1.36,0.0004,119.2173
350,375,79.1,-6.2,110,0.0,0.0004,68.9816
375,400,72.3,-6.8,109,0.0,0.0004,68.6985
400,425,78.1,-15.5,110,0.0,0.0004,50.6407
425,450,81.1,-10.2,110,0.0,0.0004,56.9584
450,475,75.7,-2.3,109,0.0,0.0004,88.0259
475,500,73.2,-3.0,109,0.0,0.0004,82.3444
