,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,81.0,-3.5,110,0.06,0.0001,85.0375,-7.3,7.0,99,1.66,0.0001,129.9522
1,50,75.7,-0.8,109,0.06,0.0001,96.1261,2.3,2.4,100,0.42,0.0001,110.095
2,75,79.7,-3.0,110,0.03,0.0001,86.2949,1.4,-1.8,100,0.27,0.0001,91.7683
3,100,75.1,-2.4,109,0.05,0.0001,88.3177,-2.2,8.0,99,0.22,0.0001,138.3927
4,125,73.4,-5.3,109,0.02,0.0001,77.0999,-8.3,1.7,98,0.07,0.0001,108.3951
5,150,72.2,-0.5,109,0.01,0.0001,97.3648,-5.6,3.1,99,0.02,0.0001,115.4171
6,175,74.0,0.2,109,0.01,0.0001,100.9774,0.1,0.2,100,0.56,0.0001,100.9662
7,200,75.3,4.2,109,0.01,0.0001,123.7905,-2.8,6.1,99,0.05,0.0001,128.9994
8,225,79.5,-1.1,110,0.0,0.0001,94.3094,-3.5,-0.2,99,0.2,0.0001,99.2635
9,250,76.7,-1.9,110,0.01,0.0001,88.1927,-3.2,0.9,99,0.12,0.0001,104.0847
10,275,83.8,-8.8,111,0.01,0.0001,63.0862,-2.3,2.3,99,0.04,0.0001,111.4608
11,300,81.9,-7.7,110,0.01,0.0001,65.4632,1.3,-0.2,100,0.01,0.0001,98.9854
12,325,72.2,4.8,109,0.0,0.0001,126.4474,1.6,3.3,100,0.18,0.0001,115.0912
13,350,75.9,0.2,110,0.0,0.0001,100.9296,-17.3,5.5,97,0.1,0.0001,128.8944
14,375,72.6,-3.6,109,0.0,0.0001,81.9969,2.3,5.1,100,0.04,0.0001,125.1261
15,400,66.9,1.3,108,0.26,0.0001,107.1228,-6.3,5.6,99,0.12,0.0001,125.4306
16,425,69.8,-1.5,109,0.0,0.0001,92.3465,4.3,3.2,100,0.03,0.0001,116.5975
17,450,75.6,-7.6,109,0.01,0.0001,64.0518,1.9,0.3,100,0.02,0.0001,101.6759
18,475,71.8,1.5,109,0.0,0.0001,107.8367,0.0,7.6,100,0.01,0.0001,142.5375
19,500,76.2,-2.4,110,0.0,0.0001,87.2619,-7.8,7.5,98,0.05,0.0001,138.3648
