,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,73.9,-12.7,109,0.05,0.0006,45.343,-3.2,2.5,99,0.05,0.0005,112.7559
1,50,68.7,-6.7,109,0.02,0.0006,64.654,-7.7,9.3,98,0.03,0.0006,126.9305
2,75,66.9,-4.1,108,0.0,0.0007,77.5067,-3.0,-6.5,99,0.0,0.0007,75.0279
3,100,71.8,-8.3,109,0.0,0.0008,61.9031,-5.9,-0.5,99,0.02,0.0007,98.2604
4,125,64.5,-5.5,108,0.0,0.0008,69.7113,-6.4,8.2,99,0.0,0.0007,136.4461
5,150,60.4,-0.5,107,0.0,0.0008,97.2782,1.2,-3.1,100,0.01,0.0007,87.0104
6,175,99.5,-7.2,113,0.0,0.0008,61.9888,-5.3,-1.5,99,0.02,0.0007,93.0193
7,200,73.9,-12.0,109,0.0,0.0008,53.0593,-0.6,-2.1,99,0.01,0.0008,90.3032
8,225,67.3,-5.2,108,0.01,0.0008,73.7332,-7.1,1.2,99,0.05,0.0008,105.6177
9,250,66.7,-9.7,108,0.0,0.0008,59.7832,-2.6,-0.3,99,0.0,0.0008,98.4475
10,275,73.5,-9.4,109,0.0,0.0008,54.8179,-5.8,4.5,99,0.01,0.0008,123.8279
11,300,66.7,-4.6,108,0.0,0.0008,75.5866,-2.5,2.4,99,0.0,0.0008,111.6537
12,325,75.1,-14.5,109,0.0,0.0008,52.6806,5.5,-10.9,100,0.0,0.0008,64.5018
13,350,66.7,-3.0,108,0.0,0.0008,82.8381,2.1,-2.3,100,0.0,0.0008,91.4371
14,375,67.4,-5.5,108,0.0,0.0008,77.093,-0.7,6.0,99,0.02,0.0008,127.4053
15,400,99.9,-3.7,113,0.0,0.0008,81.1036,-3.8,1.3,99,0.03,0.0008,105.9185
16,425,107.8,-11.3,114,0.0,0.0008,49.6832,-6.1,-0.0,99,0.0,0.0008,99.8601
17,450,96.5,-5.1,112,0.0,0.0008,75.5336,6.2,-10.5,100,0.0,0.0008,64.5636
18,475,97.3,-8.5,112,0.0,0.0008,57.4201,-8.8,14.6,98,0.0,0.0008,176.8598
19,500,96.7,-0.4,112,0.0,0.0009,97.8355,2.8,0.2,100,0.01,0.0008,101.0939
