Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,73.9,-12.7,109,0.05,0.0006,45.343
25,50,68.7,-6.7,109,0.02,0.0006,64.654
50,75,66.9,-4.1,108,0.0,0.0007,77.5067
75,100,71.8,-8.3,109,0.0,0.0008,61.9031
100,125,64.5,-5.5,108,0.0,0.0008,69.7113
125,150,60.4,-0.5,107,0.0,0.0008,97.2782
150,175,99.5,-7.2,113,0.0,0.0008,61.9888
175,200,73.9,-12.0,109,0.0,0.0008,53.0593
200,225,67.3,-5.2,108,0.01,0.0008,73.7332
225,250,66.7,-9.7,108,0.0,0.0008,59.7832
250,275,73.5,-9.4,109,0.0,0.0008,54.8179
275,300,66.7,-4.6,108,0.0,0.0008,75.5866
300,325,75.1,-14.5,109,0.0,0.0008,52.6806
325,350,66.7,-3.0,108,0.0,0.0008,82.8381
350,375,67.4,-5.5,108,0.0,0.0008,77.093
375,400,99.9,-3.7,113,0.0,0.0008,81.1036
400,425,107.8,-11.3,114,0.0,0.0008,49.6832
425,450,96.5,-5.1,112,0.0,0.0008,75.5336
450,475,97.3,-8.5,112,0.0,0.0008,57.4201
475,500,96.7,-0.4,112,0.0,0.0009,97.8355
