Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-3.8,4.6,93,8.22,0.004,196.4169
25,50,-4.7,2.3,92,4.72,0.005,149.1209
50,75,-5.6,5.4,91,2.67,0.0058,237.5986
75,100,-2.8,1.6,95,1.27,0.0063,133.409
100,125,-5.8,6.4,90,3.82,0.007,245.051
125,150,-0.5,2.1,99,1.76,0.0074,157.0047
150,175,-4.8,4.1,92,2.6,0.0077,205.2624
175,200,-2.1,4.2,96,3.04,0.0079,181.6541
200,225,-2.9,0.7,95,1.43,0.0082,114.6288
225,250,-6.0,5.4,90,3.41,0.0084,271.0576
250,275,-2.7,4.2,95,1.51,0.0086,187.3143
275,300,-3.5,3.9,94,0.43,0.0088,202.2166
300,325,-3.9,3.0,93,0.61,0.0091,159.5877
325,350,-1.7,-0.6,97,0.74,0.0094,87.6306
350,375,-4.4,3.0,93,1.03,0.0096,164.3247
375,400,-2.4,0.2,96,0.36,0.0096,104.6654
400,425,-2.8,2.1,95,0.83,0.0099,144.2399
425,450,-2.4,2.5,95,1.52,0.01,146.0287
450,475,-2.1,1.8,96,1.15,0.0103,133.921
475,500,-4.2,3.4,93,4.4,0.0105,176.1264
