Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-50.1,-3.9,19,80.85,0.0012,0.0
25,50,-5.6,14.0,90,15.05,0.0015,460.635
50,75,-6.2,15.8,89,9.3,0.0017,459.065
75,100,-6.0,14.9,90,7.42,0.0018,421.5769
100,125,-4.5,8.3,92,7.83,0.002,303.3702
125,150,-8.3,10.7,86,11.37,0.0021,409.2045
150,175,-5.6,14.7,91,4.66,0.0022,586.0633
175,200,-4.3,16.4,92,5.02,0.0024,471.5559
200,225,-1.6,10.6,97,5.4,0.0025,315.2755
225,250,-3.2,9.1,94,3.29,0.0026,317.8674
250,275,-3.7,12.2,94,6.6,0.0028,390.89
275,300,-0.8,7.9,98,1.57,0.0028,310.7618
300,325,-2.5,8.5,96,4.59,0.0029,315.2027
325,350,-2.3,8.5,96,3.08,0.003,269.0335
350,375,0.4,9.2,100,1.32,0.0031,301.1922
375,400,-3.3,11.6,94,4.2,0.0032,331.9183
400,425,-3.0,11.1,95,1.62,0.0032,343.8351
425,450,-1.7,11.0,97,3.43,0.0033,395.8138
450,475,0.1,9.9,100,5.35,0.0034,331.7307
475,500,1.3,8.5,102,3.75,0.0034,243.8367
