Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-2.2,3.5,96,6.5,0.0002,184.4218
25,50,-1.6,1.2,97,4.74,0.0003,125.0876
50,75,-3.7,3.2,94,4.94,0.0003,179.5682
75,100,-2.4,3.1,96,5.7,0.0003,173.0666
100,125,-0.2,0.0,99,2.81,0.0004,100.8069
125,150,0.8,0.2,101,2.06,0.0004,105.6508
150,175,1.0,0.8,101,2.25,0.0004,116.7991
175,200,-0.3,1.4,99,1.77,0.0005,130.4978
200,225,-0.8,1.7,98,3.46,0.0005,133.6383
225,250,-1.4,2.3,97,2.11,0.0005,155.7559
250,275,1.7,0.7,102,1.31,0.0005,112.9516
275,300,0.2,1.3,100,1.65,0.0006,136.6149
300,325,-1.0,1.4,98,1.78,0.0006,130.9063
325,350,-0.8,0.2,98,1.41,0.0006,104.1602
350,375,-2.9,3.8,95,2.43,0.0006,185.1425
375,400,-1.5,1.6,97,3.23,0.0006,131.823
400,425,-0.1,1.3,99,2.14,0.0006,127.0062
425,450,-0.9,2.7,98,1.65,0.0006,167.0881
450,475,-0.9,0.5,98,0.69,0.0007,112.5812
475,500,-2.1,3.0,96,1.01,0.0007,188.8897
