,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,-28.5,18.0,53,46.13,0.0008,428.4989,-6.3,5.6,89,8.43,0.0007,241.0105
1,50,-18.7,17.1,69,36.25,0.001,516.1595,-4.4,3.8,92,10.45,0.0009,167.7984
2,75,2.4,13.9,103,7.75,0.0011,430.1616,-3.6,4.1,94,5.93,0.001,190.5553
3,100,10.0,5.5,116,4.4,0.0012,219.8308,-2.5,2.8,95,2.89,0.0012,151.2228
4,125,7.9,7.0,112,4.26,0.0013,257.5607,-2.8,4.3,95,5.26,0.0014,178.9151
5,150,10.4,7.5,116,1.98,0.0014,293.4089,-3.7,3.6,94,4.56,0.0015,185.6489
6,175,8.9,8.5,114,3.62,0.0015,303.0525,-2.7,2.8,95,2.25,0.0015,174.8561
7,200,11.2,5.2,118,4.09,0.0015,217.2378,0.5,2.1,100,3.59,0.0016,146.4872
8,225,3.6,12.3,105,1.49,0.0016,428.8957,-0.4,1.7,99,1.95,0.0016,147.4294
9,250,12.9,5.3,121,0.65,0.0017,201.4217,-2.8,2.8,95,3.09,0.0017,161.6199
10,275,5.1,11.0,108,3.8,0.0017,370.0805,-1.2,1.6,98,2.17,0.0018,132.8791
11,300,6.6,8.3,110,2.63,0.0018,253.3694,-2.6,2.5,95,2.7,0.0018,163.5517
12,325,11.7,3.2,118,0.16,0.0018,171.045,-1.2,1.9,98,2.58,0.0018,149.829
13,350,7.1,8.6,111,0.79,0.0019,283.2246,-3.2,2.7,94,1.89,0.0019,151.4327
14,375,8.8,9.8,113,2.48,0.0019,360.7958,-4.0,3.7,93,2.23,0.0019,193.4987
15,400,13.0,4.3,120,0.56,0.002,202.7242,-1.6,2.2,97,1.64,0.002,159.6568
16,425,11.3,5.9,118,1.31,0.002,247.3555,0.2,1.2,100,2.13,0.002,125.3123
17,450,12.8,7.1,120,0.1,0.002,256.4213,-2.4,2.0,96,0.53,0.0021,156.2567
18,475,15.0,6.1,124,0.41,0.0021,231.1894,-0.0,0.7,99,1.21,0.0021,116.7734
19,500,12.1,5.7,119,0.71,0.0021,245.5222,-0.9,4.2,98,2.21,0.0021,177.5999
