Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-12.9,21.6,78,31.8,0.004,579.7568
25,50,-22.7,20.0,63,35.7,0.005,548.1372
50,75,-5.6,17.0,90,7.93,0.0057,471.9004
75,100,2.0,11.3,103,0.03,0.0064,386.3372
100,125,2.0,15.4,103,1.55,0.0068,464.5509
125,150,0.5,16.5,100,0.18,0.0072,449.5954
150,175,4.6,12.9,107,0.48,0.0074,395.6534
175,200,3.2,12.6,105,1.5,0.0077,377.8155
200,225,3.0,14.5,104,0.08,0.0078,450.537
225,250,0.6,14.6,100,0.78,0.008,465.0726
250,275,-3.5,16.9,94,0.11,0.0083,517.934
275,300,-1.8,15.9,97,1.08,0.0085,493.724
300,325,3.2,14.1,105,0.74,0.0088,402.7076
325,350,5.2,11.0,108,0.59,0.0092,370.4907
350,375,-4.8,16.9,92,1.74,0.0093,426.3774
375,400,4.4,12.3,107,0.75,0.0095,302.6285
400,425,-2.6,15.7,95,1.65,0.0096,501.533
425,450,1.7,15.4,102,0.78,0.0098,490.686
450,475,0.5,14.5,100,1.57,0.01,426.8313
475,500,7.4,12.7,112,0.34,0.0102,375.5476
