Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-29.7,18.0,52,55.6,0.0002,565.593
25,50,-30.7,14.1,50,56.15,0.0003,409.5395
50,75,-32.3,13.8,47,56.14,0.0003,423.6654
75,100,-23.6,21.6,62,45.89,0.0003,608.7332
100,125,3.0,10.3,104,9.1,0.0004,351.666
125,150,5.3,6.9,108,10.88,0.0004,243.6423
150,175,2.0,12.5,103,8.9,0.0004,399.5732
175,200,5.2,7.9,108,5.9,0.0004,286.4453
200,225,6.9,8.8,111,5.47,0.0005,346.5085
225,250,7.6,5.8,112,4.69,0.0005,264.9151
250,275,8.4,5.4,113,3.85,0.0005,219.8622
275,300,7.9,6.4,113,3.25,0.0005,254.2594
300,325,9.6,6.1,115,1.09,0.0005,246.7208
325,350,7.4,7.3,112,2.33,0.0005,270.5814
350,375,8.1,4.3,113,2.23,0.0006,187.8738
375,400,10.8,2.1,117,3.2,0.0006,144.5202
400,425,9.6,5.8,115,3.51,0.0006,233.8553
425,450,5.2,6.9,108,4.45,0.0006,326.4621
450,475,5.2,6.3,108,2.41,0.0006,291.0736
475,500,10.3,3.8,116,2.18,0.0006,190.0478
