Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-10.2,11.0,83,17.02,0.0012,414.457
25,50,-3.2,4.4,94,5.33,0.0015,209.5523
50,75,-0.7,3.2,98,5.07,0.0018,171.2024
75,100,-3.0,4.7,95,5.95,0.002,215.5377
100,125,-3.1,1.3,95,3.7,0.0022,126.4041
125,150,-1.4,3.3,97,3.39,0.0023,172.1587
150,175,-1.9,3.6,96,2.61,0.0025,200.0976
175,200,-2.1,1.8,96,5.09,0.0026,131.6605
200,225,-2.3,1.8,96,1.07,0.0027,144.2479
225,250,-2.9,4.6,95,3.97,0.0028,194.4393
250,275,-0.9,3.4,98,3.55,0.0029,176.129
275,300,-1.6,1.9,97,2.55,0.003,152.826
300,325,-1.9,3.4,96,5.03,0.003,191.783
325,350,0.2,1.3,100,1.8,0.0031,128.9952
350,375,-2.9,3.3,95,3.43,0.0032,182.0751
375,400,-1.5,2.2,97,1.93,0.0033,149.259
400,425,-3.5,4.1,94,1.86,0.0033,199.1991
425,450,-0.9,0.8,98,0.74,0.0034,118.5459
450,475,-2.8,3.0,95,3.28,0.0035,161.5668
475,500,-3.1,2.1,94,0.69,0.0035,153.7934
