Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,31.3,3.0,107,1.97,0.0002,117.9407
25,50,2.0,58.3,100,0.77,0.0002,484.6062
50,75,23.3,29.3,105,0.12,0.0002,227.437
75,100,25.5,7.8,106,0.12,0.0003,131.2408
100,125,37.8,0.4,109,0.11,0.0003,102.7378
125,150,30.5,5.5,107,0.71,0.0003,124.1042
150,175,44.8,-7.9,111,0.16,0.0003,70.7615
175,200,32.8,2.7,108,0.33,0.0004,119.1609
200,225,23.2,14.5,105,0.66,0.0004,175.1349
225,250,29.0,8.2,107,0.07,0.0004,148.6469
250,275,19.6,25.3,104,0.25,0.0004,216.7423
275,300,24.9,17.5,106,0.06,0.0004,184.6111
300,325,30.2,6.2,107,1.13,0.0004,130.5165
325,350,44.3,-9.2,111,0.04,0.0004,55.235
350,375,38.3,-0.8,109,0.04,0.0004,95.7259
375,400,25.8,16.3,106,0.06,0.0005,167.0223
400,425,24.1,15.5,106,0.38,0.0005,163.0663
425,450,28.5,15.3,107,0.1,0.0005,182.9303
450,475,31.4,5.3,107,0.07,0.0005,124.9269
475,500,25.7,13.0,106,0.05,0.0005,171.7717
