,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,-273.1,-7.9,31,4.0,0.0032,59.1631,-44.5,46.5,88,7.79,0.0029,341.2359
1,50,-269.5,-2.5,32,1.41,0.0046,86.9013,-30.6,29.8,92,6.4,0.0035,271.5754
2,75,-267.2,-4.2,33,0.19,0.0053,78.1787,-26.1,34.0,93,6.62,0.004,246.1792
3,100,-274.1,-15.6,31,1.42,0.0056,23.3007,-14.7,9.5,96,2.6,0.0046,134.1427
4,125,-277.3,-9.6,31,0.74,0.0059,43.1445,-38.4,35.9,90,4.78,0.0049,321.0506
5,150,-252.5,-3.0,35,0.6,0.0061,89.5648,-17.6,15.8,95,1.55,0.005,177.8519
6,175,-270.8,3.0,32,0.01,0.0063,117.6479,-18.2,11.6,95,3.24,0.0056,142.9647
7,200,-266.8,8.5,34,0.0,0.0066,155.3885,-6.3,3.7,98,0.99,0.0061,115.9168
8,225,-273.0,-13.0,31,1.46,0.0067,34.086,-29.4,21.9,92,1.47,0.0063,236.7143
9,250,-258.5,-6.0,34,0.56,0.0068,76.598,-14.3,6.8,96,1.28,0.0066,133.4818
10,275,-266.8,0.4,33,0.02,0.007,102.5667,-21.0,4.4,94,0.95,0.0067,121.8836
11,300,-272.7,4.8,32,0.01,0.0071,135.5036,-12.9,1.2,96,0.76,0.0069,105.6994
12,325,-259.5,0.7,34,0.0,0.0072,103.064,-25.4,13.3,93,0.32,0.007,184.9604
13,350,-275.0,-11.1,31,0.01,0.0073,44.4629,-22.0,7.0,94,1.15,0.0071,134.4989
14,375,-263.3,-5.8,33,0.43,0.0075,75.6202,-12.2,6.1,96,0.3,0.0072,126.896
15,400,-271.8,0.5,32,0.0,0.0076,102.8281,-29.9,34.5,92,4.0,0.0072,274.3967
16,425,-266.5,0.3,33,0.0,0.0077,101.1944,-8.0,8.0,97,0.27,0.0073,135.5787
17,450,-263.8,-1.9,33,0.0,0.0077,91.8639,-23.0,14.2,94,1.95,0.0073,180.7263
18,475,-273.2,2.4,32,0.0,0.0078,112.8935,2.7,-10.9,100,0.03,0.0074,66.4522
19,500,-275.5,-14.0,31,0.0,0.0079,18.6438,-17.4,10.0,95,1.43,0.0074,164.0697
