Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-69.3,69.1,82,12.88,0.0006,411.5728
25,50,-37.6,44.5,90,8.8,0.0007,294.521
50,75,-1.4,1.7,99,1.27,0.0008,106.8646
75,100,-9.1,20.3,97,1.96,0.0009,213.5367
100,125,-30.8,35.5,92,4.41,0.0009,326.5651
125,150,-19.9,22.7,95,2.99,0.001,260.6697
150,175,-16.2,21.3,95,1.43,0.0011,212.7791
175,200,-23.1,10.8,94,2.68,0.0011,141.7152
200,225,-18.6,24.0,95,3.0,0.0011,200.802
225,250,-4.3,5.3,98,0.13,0.0012,125.4275
250,275,-5.6,1.9,98,0.82,0.0012,108.2809
275,300,-16.4,16.3,95,0.25,0.0012,236.8843
300,325,-19.5,20.8,95,0.25,0.0013,196.9607
325,350,-6.2,3.6,98,0.31,0.0013,112.7787
350,375,-16.8,9.1,95,0.36,0.0013,164.7961
375,400,1.6,-1.4,100,1.6,0.0014,95.6402
400,425,-10.4,4.2,97,0.18,0.0014,124.5169
425,450,-1.2,-7.8,99,0.08,0.0014,70.3375
450,475,-12.7,24.4,96,3.1,0.0014,199.2753
475,500,-6.7,4.9,98,0.2,0.0014,124.2071
