,Seed End,Partial AER,Partial STD,Partial TL %,Partial New states %,Partial Seen states %,Partial STD %,Complete AER,Complete STD,Complete TL %,Complete New states %,Complete Seen states %,Complete STD %
0,25,7.2,30.8,101,3.27,0.0006,206.4438,-69.3,69.1,82,12.88,0.0006,411.5728
1,50,35.5,14.2,109,1.34,0.0007,155.1737,-37.6,44.5,90,8.8,0.0007,294.521
2,75,20.0,30.5,104,3.23,0.0008,314.7668,-1.4,1.7,99,1.27,0.0008,106.8646
3,100,48.6,-6.0,112,0.41,0.0009,73.7209,-9.1,20.3,97,1.96,0.0009,213.5367
4,125,38.8,0.6,109,0.0,0.0009,103.4403,-30.8,35.5,92,4.41,0.0009,326.5651
5,150,31.6,11.6,107,1.1,0.001,177.6321,-19.9,22.7,95,2.99,0.001,260.6697
6,175,54.2,-15.3,113,0.03,0.001,32.5541,-16.2,21.3,95,1.43,0.0011,212.7791
7,200,41.2,-10.0,110,0.0,0.0011,49.203,-23.1,10.8,94,2.68,0.0011,141.7152
8,225,47.2,-10.7,111,0.06,0.0011,38.7261,-18.6,24.0,95,3.0,0.0011,200.802
9,250,33.5,1.8,108,0.18,0.0011,108.7547,-4.3,5.3,98,0.13,0.0012,125.4275
10,275,19.0,29.9,104,3.69,0.0012,257.466,-5.6,1.9,98,0.82,0.0012,108.2809
11,300,35.9,-2.9,108,0.03,0.0013,85.653,-16.4,16.3,95,0.25,0.0012,236.8843
12,325,42.4,-4.9,110,0.01,0.0013,74.9906,-19.5,20.8,95,0.25,0.0013,196.9607
13,350,40.2,2.4,110,0.05,0.0014,108.4297,-6.2,3.6,98,0.31,0.0013,112.7787
14,375,42.0,-3.8,110,0.0,0.0014,76.3034,-16.8,9.1,95,0.36,0.0013,164.7961
15,400,52.4,-18.7,113,0.0,0.0014,34.3722,1.6,-1.4,100,1.6,0.0014,95.6402
16,425,43.2,0.6,110,0.0,0.0014,103.5683,-10.4,4.2,97,0.18,0.0014,124.5169
17,450,36.9,2.5,109,0.0,0.0014,118.109,-1.2,-7.8,99,0.08,0.0014,70.3375
18,475,36.1,4.9,108,0.0,0.0015,129.3675,-12.7,24.4,96,3.1,0.0014,199.2753
19,500,31.9,8.0,107,0.0,0.0015,159.7723,-6.7,4.9,98,0.2,0.0014,124.2071
