Seed Ini,Seed End,AER,STD,TL %,New states %,Seen states %,STD %
0,25,-76.7,61.9,80,21.12,0.0007,369.4236
25,50,-38.4,36.1,90,9.0,0.0011,253.0795
50,75,-38.3,41.6,90,6.78,0.0013,352.4228
75,100,-28.9,24.8,92,4.94,0.0014,226.5964
100,125,-31.2,22.6,92,4.28,0.0015,197.509
125,150,-14.9,2.3,96,1.32,0.0016,111.0298
150,175,-32.6,42.7,91,7.22,0.0017,381.3297
175,200,-18.3,9.8,95,1.52,0.0018,156.5036
200,225,-17.9,13.9,95,0.19,0.0019,164.9902
225,250,-19.2,14.9,95,1.31,0.0019,175.8203
250,275,-17.4,17.9,95,1.15,0.0019,215.9399
275,300,-5.8,0.9,98,1.3,0.002,103.3634
300,325,-18.7,12.0,95,1.95,0.0022,144.0839
325,350,-19.7,22.7,94,3.71,0.0023,190.8778
350,375,-17.6,8.7,95,1.87,0.0024,139.1297
375,400,-27.6,25.1,93,2.75,0.0025,230.2061
400,425,-14.8,3.9,96,2.18,0.0025,112.7632
425,450,-7.2,6.0,98,2.5,0.0026,120.7698
450,475,-11.9,3.7,97,1.14,0.0026,116.6278
475,500,-14.5,8.0,96,1.87,0.0026,141.2185
